n_ton, exact_exp_homo_b, simple_exp_homo_b
4, 0.0003000150007500375, 0.0004
2, 5.000250012500625e-05, 0.0001
22, 0.011550577528876444, 0.012100000000000001
3, 0.00015000750037501875, 0.00022499999999999997
5, 0.0005000250012500625, 0.000625
6, 0.0007500375018750937, 0.0008999999999999999
10, 0.0022501125056252815, 0.0025
7, 0.0010500525026251313, 0.001225
8, 0.001400070003500175, 0.0016
9, 0.0018000900045002251, 0.002025
20, 0.00950047502375119, 0.01
12, 0.0033001650082504124, 0.0035999999999999995
14, 0.004550227511375569, 0.0049
16, 0.00600030001500075, 0.0064
19, 0.008550427521376067, 0.009025
24, 0.013800690034501727, 0.014399999999999998
11, 0.002750137506875344, 0.0030250000000000003
13, 0.0039001950097504873, 0.004225
21, 0.010500525026251314, 0.011024999999999998
17, 0.006800340017000851, 0.007225
15, 0.005250262513125656, 0.005625
23, 0.012650632531626581, 0.013225
29, 0.020301015050752536, 0.021025
35, 0.02975148757437872, 0.030625000000000003
30, 0.02175108755437772, 0.0225
33, 0.0264013200660033, 0.027225
18, 0.007650382519125956, 0.0081
32, 0.0248012400620031, 0.0256
107, 0.28356417820891044, 0.28622499999999995
104, 0.26781339066953336, 0.2704
36, 0.03150157507875394, 0.0324
26, 0.016250812540627033, 0.0169
105, 0.2730136506825341, 0.275625
113, 0.31641582079103947, 0.319225
28, 0.018900945047252364, 0.0196
106, 0.27826391319565985, 0.2809
25, 0.015000750037501875, 0.015625
115, 0.3277663883194159, 0.33062499999999995
119, 0.35106755337766893, 0.35402500000000003
27, 0.017550877543877193, 0.018225
112, 0.3108155407770389, 0.3136
108, 0.2889144457222861, 0.2916
111, 0.30526526326316317, 0.308025
39, 0.03705185259262962, 0.038024999999999996
38, 0.03515175758787938, 0.0361
122, 0.369068453422671, 0.37210000000000004
116, 0.3335166758337917, 0.3364
123, 0.37516875843792197, 0.378225
124, 0.3813190659532977, 0.38439999999999996
118, 0.3451672583629181, 0.3481
120, 0.3570178508925446, 0.36
127, 0.40007000350017496, 0.403225
110, 0.2997649882494125, 0.3025
34, 0.028051402570128503, 0.0289
41, 0.04100205010250512, 0.04202500000000001
37, 0.03330166508325417, 0.034225000000000005
42, 0.04305215260763038, 0.04409999999999999
40, 0.03900195009750487, 0.04
121, 0.36301815090754536, 0.366025
9999999995
43, 0.04515225761288065, 0.046225
45, 0.04950247512375619, 0.050624999999999996
31, 0.023251162558127907, 0.024024999999999998
50, 0.061253062653132656, 0.0625
48, 0.056402820141007046, 0.05759999999999999
60, 0.08850442522126106, 0.09
56, 0.07700385019250962, 0.0784
61, 0.09150457522876145, 0.09302500000000001
51, 0.06375318765938297, 0.06502500000000001
117, 0.3393169658482923, 0.342225
66, 0.10725536276813842, 0.1089
44, 0.04730236511825591, 0.048400000000000006
46, 0.051752587629381466, 0.0529
52, 0.0663033151657583, 0.0676
63, 0.09765488274413722, 0.09922500000000001
55, 0.07425371268563428, 0.075625
114, 0.32206610330516533, 0.3249
59, 0.08555427771388568, 0.087025
58, 0.08265413270663534, 0.0841
65, 0.10400520026001299, 0.105625
62, 0.09455472773638682, 0.09609999999999999
47, 0.05405270263513175, 0.055225
57, 0.07980399019950998, 0.081225
125, 0.38751937596879843, 0.39062500000000006
54, 0.07155357767888397, 0.0729
64, 0.1008050402520126, 0.1024
72, 0.127806390319516, 0.1296
73, 0.13140657032851638, 0.133225
75, 0.13875693784689236, 0.140625
71, 0.12425621281064053, 0.12602500000000003
78, 0.15015750787539375, 0.15209999999999999
67, 0.11055552777638883, 0.11222500000000002
68, 0.11390569528476423, 0.1156
69, 0.11730586529326464, 0.119025
77, 0.14630731536576824, 0.148225
74, 0.13505675283764187, 0.13690000000000002
70, 0.12075603780189009, 0.12250000000000001
76, 0.14250712535626783, 0.1444
79, 0.15405770288514425, 0.15602500000000002
81, 0.1620081004050202, 0.16402499999999998
86, 0.1827591379568978, 0.1849
87, 0.18705935296764833, 0.18922499999999998
80, 0.15800790039501977, 0.16
88, 0.1914095704785239, 0.19360000000000002
126, 0.39376968848442423, 0.39690000000000003
89, 0.1958097904895245, 0.19802499999999998
82, 0.16605830291514576, 0.16810000000000003
133, 0.4389219460973048, 0.442225
139, 0.47957397869893487, 0.4830249999999999
129, 0.4128206410320515, 0.416025
137, 0.46582329116455834, 0.46922500000000006
131, 0.4257712885644283, 0.42902500000000005
138, 0.47267363368168414, 0.4761
135, 0.45227261363068155, 0.45562499999999995
134, 0.44557227861393073, 0.4489000000000001
85, 0.1785089254462723, 0.180625
136, 0.4590229511475573, 0.4624
140, 0.4865243262163108, 0.49000000000000005
84, 0.17430871543577178, 0.17639999999999997
128, 0.4064203210160507, 0.4096
90, 0.20026001300065005, 0.20249999999999999
132, 0.43232161608080405, 0.4356
130, 0.41927096354817744, 0.4225
99, 0.24256212810640532, 0.24502500000000005
83, 0.17015850792539627, 0.172225
152, 0.5738286914345718, 0.5776
92, 0.20931046552327617, 0.2116
5
149, 0.551327566378319, 0.555025
150, 0.5587779388969452, 0.5625
94, 0.21856092804640231, 0.2209
146, 0.5292764638231909, 0.5329
145, 0.522026101305065, 0.525625
98, 0.23766188309415465, 0.24009999999999998
153, 0.5814290714535726, 0.585225
143, 0.5076753837691885, 0.511225
102, 0.2575628781439072, 0.26010000000000005
93, 0.21391069553477676, 0.21622499999999995
147, 0.536576828841442, 0.540225
96, 0.2280114005700285, 0.23039999999999997
91, 0.20476023801190055, 0.20702500000000001
148, 0.543927196359818, 0.5476000000000001
103, 0.26266313315665785, 0.26522500000000004
156, 0.6045302265113256, 0.6083999999999999
142, 0.5005750287514374, 0.5041000000000001
100, 0.2475123756187809, 0.25
109, 0.2943147157357868, 0.297025
151, 0.5662783139156957, 0.570025
144, 0.5148257412870643, 0.5184
166, 0.6847842392119607, 0.6889
141, 0.4935246762338118, 0.497025
155, 0.5967798389919498, 0.600625
168, 0.7014350717535877, 0.7055999999999999
157, 0.6123306165308265, 0.6162249999999999
158, 0.6201810090504524, 0.6241000000000001
164, 0.6683334166708335, 0.6724000000000001
161, 0.6440322016100806, 0.648025
154, 0.5890794539726987, 0.5929
49999999999
97, 0.2328116405820291, 0.23522500000000002
174, 0.752587629381469, 0.7568999999999999
165, 0.6765338266913343, 0.680625
162, 0.6520826041302066, 0.6560999999999999
160, 0.6360318015900795, 0.64
173, 0.743937196859843, 0.7482249999999999
177, 0.778838941947097, 0.7832250000000001
175, 0.7612880644032202, 0.7656250000000001
176, 0.7700385019250964, 0.7744000000000001
227, 1.2826141307065353, 1.2882250000000002
163, 0.6601830091504577, 0.6642249999999998
179, 0.7965898294914744, 0.801025
101, 0.2525126256312816, 0.255025
231, 1.328316415820791, 1.3340249999999998
178, 0.7876893844692234, 0.7920999999999999
180, 0.8055402770138507, 0.8099999999999999
232, 1.339866993349667, 1.3456
235, 1.3748187409370467, 1.380625
228, 1.2939646982349124, 1.2996
181, 0.8145407270363522, 0.8190250000000001
167, 0.6930846542327117, 0.697225
229, 1.3053652682634134, 1.311025
236, 1.3865693284664231, 1.3924
172, 0.7353367668383419, 0.7396
170, 0.7182859142957144, 0.7225
186, 0.8602930146507324, 0.8648999999999998
182, 0.823591179558978, 0.8281000000000001
171, 0.7267863393169658, 0.731025
183, 0.8326916345817291, 0.837225
233, 1.3514675733786687, 1.3572250000000001
191, 0.9072953647682384, 0.912025
185, 0.8510425521276065, 0.8556249999999999
187, 0.8695934796739837, 0.8742250000000001
188, 0.8789439471973599, 0.8836
201, 1.0050502525126255, 1.010025
189, 0.888344417220861, 0.893025
190, 0.8977948897444871, 0.9025
192, 0.9168458422921145, 0.9215999999999999
194, 0.9360968048402419, 0.9409000000000001
193, 0.9264463223161158, 0.9312250000000002
197, 0.9653482674133707, 0.9702249999999999
195, 0.9457972898644934, 0.950625
196, 0.9555477773888694, 0.9603999999999999
238, 1.4102205110255512, 1.4161000000000001
239, 1.4221211060553027, 1.428025
242, 1.4581229061453072, 1.4641
200, 0.9950497524876243, 1.0
203, 1.025201260063003, 1.030225
202, 1.015100755037752, 1.0201
205, 1.0455522776138804, 1.0506250000000001
204, 1.0353517675883792, 1.0404000000000002
199, 0.985099254962748, 0.990025
198, 0.9751987599379968, 0.9801000000000002
210, 1.097304865243262, 1.1025
212, 1.11835591779589, 1.1236
211, 1.1078053902695135, 1.1130250000000002
215, 1.150307515375769, 1.155625
214, 1.1396069803490172, 1.1448999999999998
213, 1.1289564478223912, 1.134225
206, 1.0558027901395066, 1.0609000000000002
207, 1.0661033051652582, 1.071225
209, 1.0868543427171355, 1.0920249999999998
243, 1.4702235111755588, 1.476225
208, 1.0764538226911347, 1.0816
217, 1.1718585929296463, 1.177225
218, 1.182709135456773, 1.1881
219, 1.1936096804840242, 1.199025
220, 1.204560228011401, 1.21
216, 1.161058052902645, 1.1664
223, 1.2377118855942797, 1.2432250000000002
221, 1.215560778038902, 1.2210250000000002
224, 1.2488624431221562, 1.2544
225, 1.2600630031501576, 1.265625
222, 1.2266113305665283, 1.2321
230, 1.316815840792039, 1.3224999999999998
226, 1.2713135656782841, 1.2769
234, 1.363118155907795, 1.3689
237, 1.398369918495925, 1.404225
241, 1.4460723036151808, 1.452025
240, 1.434071703585179, 1.44
246, 1.5068253412670634, 1.5129
245, 1.4945747287364366, 1.5006250000000003
244, 1.4823741187059352, 1.4884000000000002
350, 3.0539026951347568, 3.0625000000000004
349, 3.0364518225911286, 3.0450250000000003
354, 3.1242062103105157, 3.1329000000000002
356, 3.1596579828991445, 3.1683999999999997
357, 3.1774588729436473, 3.1862250000000003
351, 3.0714035701785085, 3.080025
353, 3.106555327766389, 3.1152249999999997
363, 3.285314265713285, 3.2942249999999995
360, 3.231161558077903, 3.2399999999999998
355, 3.141907095354768, 3.150625
364, 3.3034651732586626, 3.3124000000000002
365, 3.321666083304165, 3.3306249999999995
362, 3.267213360668033, 3.2761000000000005
361, 3.249162458122907, 3.258025
368, 3.3765688284414224, 3.3856
367, 3.358217910895544, 3.367225000000001
358, 3.1953097654882736, 3.2041
366, 3.3399169958497916, 3.3489
359, 3.213210660533027, 3.222025
369, 3.394969748487424, 3.4040250000000003
