,heterozygotes,homozygotes
3,30,0
80,156,2
344,272,36
5,70,0
2,52,0
8,40,0
112,92,10
6,60,0
22,110,0
9,34,1
104,98,3
18,54,0
31,29,1
23,69,0
101,85,8
518,388,65
283,498,34
425,351,37
7,56,0
487,341,73
29,85,1
326,834,72
26,52,0
188,170,9
989,465,262
19,19,0
489,371,59
988,466,261
71,69,1
260,228,16
137,250,12
12,36,0
116,226,3
11,55,0
355,311,22
442,718,83
412,340,36
77,150,2
58,56,1
944,496,224
505,403,51
16,30,1
779,473,153
135,123,6
25,50,0
174,166,4
786,524,131
59,165,6
64,60,2
154,148,3
758,478,140
701,443,129
107,103,2
68,66,1
962,488,237
54,54,0
10,60,0
512,394,59
61,122,0
14,28,0
362,296,33
39,78,0
91,91,0
48,42,3
126,120,3
74,70,2
173,165,4
129,119,5
277,245,16
45,90,0
333,283,25
46,134,2
15,30,0
226,208,9
105,97,4
366,310,28
4,16,0
424,336,44
33,163,1
521,395,63
62,58,2
184,168,8
259,233,13
201,181,10
243,209,17
285,215,35
138,130,4
81,77,2
82,82,0
711,465,123
78,76,1
84,84,0
659,461,99
76,146,3
145,121,12
249,221,14
63,59,2
95,93,1
294,258,18
825,509,158
55,53,1
44,42,1
24,96,0
34,34,0
240,218,11
117,109,4
20,40,0
150,148,1
52,104,0
271,231,20
106,212,0
30,30,0
13,26,0
178,160,9
96,86,5
92,90,1
32,64,0
894,506,194
124,114,5
73,61,6
930,492,219
17,34,0
38,38,0
43,43,0
542,434,54
162,148,7
373,301,36
325,267,29
208,172,18
479,375,52
299,265,17
295,259,18
121,115,3
603,405,99
339,295,22
722,428,147
246,218,14
122,118,2
41,41,0
156,138,9
206,180,13
42,42,0
470,366,52
