chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
4,6,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
4,21,80,76,2,0.9471919892131756,0.26938131238634855,0.7930536692451468,0.47632764314120174,0.6691714019044777
6,12,344,272,36,0.36247433403572693,0.030817911656416355,0.937417180607525,0.09340073104889131,0.14985090663024755
7,6,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
7,16,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
7,22,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
10,8,112,92,10,0.00021831920203599305,0.0004776339718307235,0.999876594663852,0.0006010393079787787,0.0006010393079787787
14,15,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
16,6,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
16,10,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
17,13,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
17,23,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
19,7,9,7,1,4.104939882604243e-11,0.0178201002820254,0.9999056269358697,0.017914473346155653,0.017914473346155653
20,7,104,98,3,0.9821342450679222,0.23288713581465778,0.7229079266478554,0.5099792091668025,0.7462235938213608
20,9,18,18,0,0.9595997956776657,0.9257266518617628,0.9257266518617628,1.0,1.0
22,21,31,29,1,0.28955369220557176,0.18928228632986865,0.9789761260716863,0.21030616025818238,0.21030616025818238
24,3,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
24,7,23,23,0,0.9345664769544622,0.8799043519346799,0.8799043519346799,1.0,1.0
28,11,101,85,8,0.001566706432350525,0.0019950580208387275,0.9994673327639519,0.0025277252568866085,0.0025277252568866085
30,25,518,388,65,0.9429079798562809,0.06264250643769335,0.4056619116970749,0.6569805947406187,0.8047522938815656
31,3,283,261,11,0.06341365480811868,0.005822910516154396,0.01024971042789649,0.9955732000882579,0.018609035317805955
33,9,425,351,37,0.3049006706742459,0.02385970090394955,0.07431907495172836,0.9495406259522213,0.13143756053477246
35,6,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
37,22,487,341,73,0.06273925510161078,0.004323830378579061,0.9923180950495469,0.012005735329032041,0.02035200287701139
38,18,29,29,0,0.8974110804933898,0.8138805035509974,0.8138805035509974,1.0,1.0
39,12,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
40,3,326,302,12,0.0033403258546956106,0.0001637222286155325,0.00024841137077832436,0.9999153108578374,0.0004486213058736173
43,8,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
45,23,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
46,7,26,26,0,0.9169149158673642,0.8482302183936231,0.8482302183936231,1.0,1.0
54,22,188,170,9,0.9981475647531532,0.1452742087537006,0.6182696198142126,0.5270045889394881,0.8540145344102962
55,1,989,465,262,0.08697554604429938,0.004243220353606728,0.9890032853762466,0.015239934977360148,0.026950860284395698
56,16,19,19,0,0.9550469769297613,0.9173194471526248,0.9173194471526248,1.0,1.0
57,5,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
60,7,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
60,20,489,371,59,0.9911187278970555,0.06793457376126523,0.4901524154799728,0.5777821582812928,0.9319514087842319
61,21,988,466,261,0.09997035867992354,0.004882308038364942,0.9870082424395153,0.017874065598849527,0.031639034699318044
62,11,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
65,8,71,69,1,0.971527024620936,0.3684357780814578,0.6442066220378004,0.7242291560436571,0.9999999999999998
65,24,260,228,16,0.9688345952056159,0.11006413230524933,0.47192189288947134,0.6381422394157779,0.8893371817625594
67,1,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
67,8,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
69,4,137,129,4,0.9428478530142637,0.1962238898437255,0.49357894977848854,0.7026449400652369,1.0000000000000002
69,17,12,12,0,0.9819469841920873,0.9673537484054419,0.9673537484054419,1.0000000000000002,1.0000000000000002
70,22,116,112,2,0.7322515221652481,0.19838390181052157,0.3365060914204014,0.8618778103901201,0.7682911811998868
73,5,80,80,0,0.419766969773104,0.19284375876327597,0.19284375876327597,0.9999999999999999,0.39979008951812917
76,21,11,11,0,0.9848235826801348,0.972733369857646,0.972733369857646,1.0,1.0
76,23,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
79,8,355,311,22,0.1200409578103168,0.010300657481883961,0.02351069098728721,0.986789966494597,0.03991185740359556
79,23,442,356,43,0.5623940532165428,0.04276959022794165,0.16718807720170134,0.8755815130262399,0.31286575508420805
86,22,12,12,0,0.9819469841920873,0.9673537484054419,0.9673537484054419,1.0000000000000002,1.0000000000000002
86,25,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
87,1,412,340,36,0.4610943033735214,0.03709285906660202,0.12791396121661663,0.9091788978499853,0.2459061104741056
87,1,77,73,2,0.9068197692288946,0.25930864708317997,0.8234186863518522,0.43588996073132763,0.6542551372224268
89,13,58,56,1,0.9841848710110381,0.37420336736766074,0.8011528839166071,0.5730504834510536,0.5730504834510536
89,25,944,496,224,0.9881667783198695,0.049868512319442046,0.5923770577323125,0.4574914545871297,0.8990314031995721
90,11,505,403,51,0.10188939449732146,0.006889791645009918,0.019529127642100255,0.9873606640029097,0.03609817327752616
91,4,116,114,1,0.3921670129235207,0.1091558062438268,0.1381221896098798,0.971033616633947,0.24728233828947396
91,24,16,14,1,0.0009535293967190134,0.05733945511975028,0.9986621766689839,0.058677278450766285,0.058677278450766285
92,11,779,473,153,0.9853982594469708,0.052072452056342096,0.6005982048045307,0.451474247251811,0.8941885385371798
94,11,135,123,6,0.7686985881417995,0.13662955554166317,0.8417405774601198,0.2948889780815432,0.4466558535380075
95,11,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
95,14,25,25,0,0.9230098561715767,0.8591049647832849,0.8591049647832849,1.0,1.0
99,19,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
103,12,174,166,4,0.3644208564207124,0.06422761093289676,0.1077870993732886,0.9564405115596081,0.2281605259925497
105,1,786,524,131,0.007976840421548684,0.0004327727805014578,0.001188566653769178,0.9992442061267328,0.002270232842226508
105,17,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
105,25,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
107,21,59,59,0,0.6300350864026305,0.4141981921617996,0.4141981921617996,1.0000000000000002,1.0000000000000002
107,22,64,60,2,0.6087270139464138,0.19140128467790532,0.9241840102434858,0.26721727443441945,0.26721727443441945
108,9,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
109,25,154,148,3,0.42774536627654747,0.08683915534707795,0.13980637410658914,0.9470327812404885,0.26454521783202317
114,9,758,478,140,0.8872218592061748,0.04798540152329599,0.34266910941165013,0.7053162921116458,0.686827014065229
115,10,701,443,129,0.6942796608082851,0.03780497321698455,0.8264156027639586,0.21138937045302586,0.40462226114322275
116,14,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
120,9,107,103,2,0.8650455093544163,0.2416632818654548,0.45007494190742825,0.7915883399580265,0.9999999999999999
120,9,68,66,1,0.9887834316564711,0.37549019808824763,0.6830690873036427,0.6924211107846051,1.0
120,26,962,488,237,0.7748213202168632,0.03870435351681403,0.7863024295517554,0.2524019239650587,0.4860895577605813
124,13,283,237,23,0.7404947712737358,0.07293170246608857,0.8228186962833877,0.25011300618270094,0.4346280479007082
125,17,54,54,0,0.6804439268132277,0.47938165929698523,0.47938165929698523,0.9999999999999999,0.9999999999999999
125,23,10,10,0,0.9874534290355311,0.9776461646549068,0.9776461646549068,0.9999999999999999,0.9999999999999999
127,22,512,394,59,0.5549925093058399,0.037919835743202394,0.1618800358778755,0.8760397998653269,0.3189477404056674
128,1,61,61,0,0.6096620152377938,0.3891870689407609,0.3891870689407609,1.0,1.0
128,8,61,61,0,0.6096620152377938,0.3891870689407609,0.3891870689407609,1.0,1.0
128,13,7,7,0,0.9938508825359385,0.9895210367748775,0.9895210367748775,1.0,1.0
130,21,14,14,0,0.9754595015030865,0.9552238563540852,0.9552238563540852,1.0,1.0
135,9,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
135,23,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
136,7,362,296,33,0.9987011510167084,0.08451735339561138,0.5744190530336231,0.5100983003619884,0.915419620986644
136,17,9,9,0,0.9898352698344185,0.9820855266538443,0.9820855266538443,1.0,1.0
137,17,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
138,5,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
138,9,39,39,0,0.8205646814186629,0.6853700658321079,0.6853700658321079,1.0,1.0
138,11,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
138,13,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
139,18,91,91,0,0.321048281003559,0.11702778804232258,0.11702778804232258,1.0,0.2602665696103367
140,17,48,42,3,0.004727170714480711,0.014870616707209365,0.9981806907970043,0.016689925910205045,0.016689925910205045
141,11,126,120,3,0.8739537533700623,0.2051260694556646,0.43348754209281376,0.7716385273628508,0.7914863132241678
143,2,16,16,0,0.9680048221116089,0.9413227215492337,0.9413227215492337,0.9999999999999999,0.9999999999999999
146,16,74,70,2,0.8548667934661918,0.24679054895252853,0.8512114016270994,0.3955791473254291,0.6415936941659679
147,26,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
149,6,173,165,4,0.3786860670596082,0.06735783745850725,0.1138703195050093,0.953487517953498,0.22695280079700003
150,20,129,119,5,0.9076995597904581,0.17223916007688556,0.7745108962624979,0.39772826381438753,0.5982810813582226
152,20,277,245,16,0.7007145742261941,0.0786067901214467,0.2471052785193734,0.8315015116020731,0.506660376654897
155,4,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
155,10,45,45,0,0.7672735246454103,0.6027166773552557,0.6027166773552557,1.0,1.0
157,2,333,283,25,0.8249836586791822,0.0777647411206731,0.31638844624676227,0.7613762948739109,0.6481375349689376
160,9,11,11,0,0.9848235826801348,0.972733369857646,0.972733369857646,1.0,1.0
160,16,46,44,1,0.8027851878168446,0.31908529977631184,0.9079287032282496,0.41115659654806214,0.41115659654806214
162,17,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
164,21,15,15,0,0.9718520782202444,0.9484901534392025,0.9484901534392025,1.0,1.0
165,3,18,18,0,0.9595997956776657,0.9257266518617628,0.9257266518617628,1.0,1.0
166,13,226,208,9,0.493122357107737,0.0676868138387347,0.15388191378533467,0.9138049000534002,0.27193426619559324
166,20,12,12,0,0.9819469841920873,0.9673537484054419,0.9673537484054419,1.0000000000000002,1.0000000000000002
167,4,105,97,4,0.7315581756813396,0.15799107512742805,0.8688615865274792,0.28912948859994864,0.345153933697315
168,17,366,310,28,0.509705160585425,0.0451280844444829,0.14873096478826134,0.8963971196562215,0.28993567111539986
168,17,4,4,0,0.9979939906673919,0.9969992507520661,0.9969992507520661,1.0,1.0
171,25,29,27,1,0.21713968885457788,0.16997710105025973,0.9838576046012572,0.18611949644900264,0.18611949644900264
172,5,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
172,20,424,336,44,0.9841610084864659,0.07480695588864054,0.4769680282444898,0.5978389276441507,0.9246710417353249
173,3,33,33,0,0.868723138301186,0.7646224860615011,0.7646224860615011,0.9999999999999999,0.9999999999999999
174,21,521,395,63,0.727406518826283,0.048812176592713086,0.2429008885861329,0.8059112880065802,0.46050479075978534
176,10,45,45,0,0.7672735246454103,0.6027166773552557,0.6027166773552557,1.0,1.0
176,22,10,10,0,0.9874534290355311,0.9776461646549068,0.9776461646549068,0.9999999999999999,0.9999999999999999
