,heterozygotes,homozygotes
7,49,0
27,71,5
8,40,0
2,58,0
9,52,1
3,39,0
58,112,31
33,48,9
38,64,6
55,39,8
36,30,3
21,53,5
99,49,25
53,41,6
97,98,48
116,52,32
32,100,14
12,46,1
18,34,1
29,50,4
46,76,8
5,23,1
78,48,15
82,56,13
17,15,1
4,58,1
80,98,31
162,64,130
24,24,0
72,40,16
74,46,14
6,42,0
10,70,0
48,36,6
31,73,10
16,60,2
120,50,35
151,43,54
23,21,1
42,36,3
47,68,13
52,38,7
11,33,0
20,94,3
26,24,1
156,28,64
13,50,1
73,41,16
59,45,7
15,28,1
25,19,3
28,26,1
44,38,3
127,47,40
14,12,1
140,46,47
91,53,19
94,52,21
126,44,41
56,84,14
19,34,2
30,20,5
66,38,14
130,48,41
129,49,40
