,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.0,0.0005002501250625312,0.0005002501250625312
1,3,0.0,0.0015007503751875938,0.0015007503751875938
2,4,0.009615384615384616,0.0030015007503751876,-0.006613883865009428
3,5,0.0125,0.0050025012506253125,-0.007497498749374688
4,6,0.0,0.007503751875937969,0.007503751875937969
5,7,0.0,0.010505252626313155,0.010505252626313155
6,8,0.0,0.014007003501750877,0.014007003501750877
7,9,0.02631578947368421,0.018009004502251128,-0.008306784971433081
8,10,0.058823529411764705,0.022511255627813902,-0.0363122737839508
9,11,0.0,0.02751375687843922,0.02751375687843922
10,12,0.0,0.03301650825412707,0.03301650825412707
11,13,0.07407407407407407,0.03901950975487743,-0.03505456431919664
12,14,0.09523809523809523,0.045522761380690356,-0.04971533385740488
13,15,0.03225806451612903,0.05252626313156578,0.02026819861543675
14,16,0.03225806451612903,0.060030015007503754,0.027771950491374722
15,17,0.09090909090909091,0.06803401700850426,-0.022875073900586657
16,18,0.11538461538461539,0.07653826913456728,-0.03884634625004811
17,19,0.08,0.08554277138569286,0.0055427713856928545
18,20,0.038461538461538464,0.09504752376188096,0.05658598530034249
19,21,0.047619047619047616,0.10505252626313157,0.05743347864408395
20,22,0.21052631578947367,0.11555777888944473,-0.09496853690002895
21,23,0.0,0.12656328164082042,0.12656328164082042
22,24,0.09090909090909091,0.1380690345172586,0.04715994360816769
23,25,0.0625,0.1500750375187594,0.08757503751875939
24,26,0.09090909090909091,0.16258129064532265,0.07167219973623173
25,27,0.15789473684210525,0.17558779389694848,0.017693057054843225
26,28,0.07142857142857142,0.1890945472736368,0.11766597584506538
27,29,0.1111111111111111,0.2031015507753877,0.09199043966427659
28,30,0.0,0.21760880440220104,0.21760880440220104
29,31,0.3333333333333333,0.23261630815407702,-0.10071702517925629
30,32,0.16666666666666666,0.24812406203101553,0.08145739536434887
31,33,0.375,0.26413206603301653,-0.11086793396698347
32,34,0.2222222222222222,0.2806403201600801,0.058418097937857905
33,35,0.13333333333333333,0.2976488244122061,0.16431549107887275
34,36,0.4666666666666667,0.3151575787893947,-0.15150908787727196
35,37,0.3,0.33316658329164583,0.033166583291645846
36,38,0.5714285714285714,0.3516758379189595,-0.21975273350961189
37,39,0.6,0.3706853426713356,-0.22931465732866435
38,40,0.2727272727272727,0.39019509754877435,0.11746782482150164
39,41,0.38461538461538464,0.4102051025512756,0.025589717935890988
40,42,0.5333333333333333,0.4307153576788395,-0.10261797565449382
41,43,0.4444444444444444,0.45172586293146577,0.007281418487021352
42,44,0.5833333333333334,0.47323661830915464,-0.11009671502417873
43,45,0.2222222222222222,0.49524762381190596,0.27302540158968375
44,46,0.6,0.51775887943972,-0.08224112056027999
45,47,0.6666666666666666,0.5407703851925961,-0.1258962814740705
46,48,0.2,0.5642821410705353,0.3642821410705353
47,49,0.875,0.5882941470735368,-0.2867058529264632
48,50,0.16666666666666666,0.612806403201601,0.44613973653493433
49,51,0.0,0.6378189094547272,0.6378189094547272
50,52,0.6363636363636364,0.6633316658329164,0.026968029469280008
51,53,0.5714285714285714,0.6893446723361683,0.11791610090759685
52,54,0.42857142857142855,0.7158579289644822,0.28728650039305365
53,55,0.3333333333333333,0.7428714357178589,0.40953810238452554
54,56,0.0,0.7703851925962981,0.7703851925962981
55,57,1.4444444444444444,0.7983991995998,-0.6460452448446444
56,58,0.5,0.8269134567283642,0.32691345672836425
57,59,0.5555555555555556,0.8559279639819909,0.3003724084264353
58,60,1.1428571428571428,0.8854427213606806,-0.2574144214964622
59,61,2.3333333333333335,0.9154577288644322,-1.4178756044689012
60,62,0.625,0.9459729864932468,0.3209729864932468
61,63,0.8,0.9769884942471235,0.17698849424712348
62,64,1.5,1.0085042521260628,-0.49149574787393724
63,65,1.3076923076923077,1.0405202601300654,-0.26717204756224233
64,66,1.0,1.0730365182591297,0.07303651825912971
65,67,1.4,1.1060530265132564,-0.2939469734867435
66,68,0.8571428571428571,1.139569784892446,0.2824269277495889
67,69,0.5714285714285714,1.173586793396699,0.6021582219681276
68,70,1.5,1.2081040520260131,-0.2918959479739869
69,71,1.0,1.24312156078039,0.24312156078039004
70,72,0.5555555555555556,1.2786393196598296,0.723083764104274
71,73,0.6,1.3146573286643317,0.7146573286643317
72,74,0.6666666666666666,1.351175587793897,0.6845089211272303
73,75,2.5,1.3881940970485243,-1.1118059029514757
74,76,1.2857142857142858,1.4257128564282142,0.1399985707139284
75,77,1.5,1.463731865932967,-0.036268134067033
76,78,1.4,1.502251125562781,0.10225112556278115
77,79,2.0,1.5412706353176588,-0.45872936468234116
78,80,2.125,1.5807903951975986,-0.5442096048024014
79,81,1.75,1.6208104052026013,-0.12918959479739867
80,82,1.3333333333333333,1.6613306653326663,0.327997331999333
81,83,2.0,1.702351175587794,-0.29764882441220597
82,84,1.0,1.743871935967984,0.743871935967984
83,85,2.125,1.7858929464732367,-0.3391070535267633
84,86,1.0,1.828414207103552,0.8284142071035521
85,87,1.5714285714285714,1.8714357178589291,0.30000714643035775
86,88,1.8,1.91495747873937,0.1149574787393699
87,89,2.4,1.958979489744873,-0.441020510255127
88,90,5.0,2.0035017508754387,-2.9964982491245613
