,heterozygotes,homozygotes
48,86,5
83,154,6
143,127,8
45,41,2
4,28,0
11,33,0
10,50,0
107,91,8
47,90,2
20,20,0
36,34,1
6,36,0
18,34,1
8,64,0
62,116,4
237,380,47
177,147,15
2,38,0
13,39,0
190,158,16
32,30,1
5,50,0
3,21,0
100,88,6
30,60,0
197,318,38
119,200,19
122,100,11
401,249,76
189,163,13
54,54,0
42,40,1
19,74,1
104,88,8
80,150,5
235,205,15
16,16,0
129,329,29
73,136,5
38,38,0
376,260,58
43,84,1
124,102,11
17,51,0
59,59,0
412,238,87
378,228,75
22,88,0
332,224,54
46,86,3
473,257,108
284,194,45
98,86,6
446,250,98
9,18,0
27,25,1
65,61,2
63,53,5
94,84,5
56,162,3
325,243,41
336,218,59
53,49,2
21,42,0
90,78,6
125,99,13
78,78,0
271,193,39
7,14,0
85,75,5
150,124,13
60,56,2
25,25,0
89,156,11
15,30,0
127,95,16
71,134,4
201,175,13
193,463,58
28,54,1
12,36,0
173,292,27
149,131,9
242,174,34
418,256,81
432,520,172
61,61,0
26,24,1
221,183,19
302,208,47
265,201,32
58,54,2
44,84,2
371,235,68
167,292,21
105,87,9
329,223,53
409,247,81
151,135,8
164,140,12
255,187,34
269,201,34
112,102,5
95,89,3
14,28,0
354,222,66
67,65,1
55,110,0
210,174,18
324,206,59
109,93,8
23,42,2
121,111,5
31,62,0
91,81,5
57,53,2
39,39,0
41,41,0
