chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_p_values,fisher_p_values
2,5,22,20,1,0.28905899546677294,0.19041971423815035
2,41,137,131,3,0.05414856804224536,0.006248214922348861
2,63,8,8,0,0.9838723606807993,0.9721823910125961
3,25,5,5,0,0.9937069130460606,0.9900050501855918
3,59,279,213,33,0.42053010709395533,0.03897790213669938
3,61,721,213,254,0.42053010709395533,0.03897790213669938
4,22,628,240,194,0.8297010670062128,0.06439779330025043
4,23,9,9,0,0.9795916474111371,0.9643422104399139
4,31,3,1,1,7.765130643961075e-49,0.003003003003003003
4,40,53,53,0,0.45700811107008743,0.23337744863009408
4,58,53,53,0,0.45700811107008743,0.23337744863009408
4,67,564,258,153,0.5461223474999599,0.0406638572186339
4,72,64,54,5,0.08817739174453472,0.03181887783473162
4,95,2,2,0,0.9989964918193617,0.998998998998999
5,55,230,182,24,0.8258192646931023,0.085929952719378
5,59,2,2,0,0.9989964918193617,0.998998998998999
5,82,3,3,0,0.9977389989283943,0.996996996996997
6,28,36,36,0,0.7056393400188399,0.5203073744215011
6,34,33,31,1,0.8156669061913179,0.32681594096876937
6,57,2,2,0,0.9989964918193617,0.998998998998999
6,61,11,11,0,0.9695466924909625,0.9459319426749386
6,69,2,2,0,0.9989964918193617,0.998998998998999
7,18,2,2,0,0.9989964918193617,0.998998998998999
7,30,4,4,0,0.9959759253458835,0.9939970060331144
7,36,6,6,0,0.990932381241065,0.9850301504359155
7,38,459,269,95,0.17656675977925546,0.01324981142060101
7,48,7,7,0,0.9876535331294505,0.9790842943970669
7,68,6,6,0,0.990932381241065,0.9850301504359155
7,87,4,4,0,0.9959759253458835,0.9939970060331144
8,29,4,4,0,0.9959759253458835,0.9939970060331144
8,62,20,20,0,0.9011141994431964,0.823829735905331
9,27,5,5,0,0.9937069130460606,0.9900050501855918
9,62,272,200,36,0.9752152570622816,0.08855928734438412
9,91,333,233,50,0.5483379067140757,0.04550934247517752
9,94,4,4,0,0.9959759253458835,0.9939970060331144
11,23,4,4,0,0.9959759253458835,0.9939970060331144
11,61,168,150,9,0.2624827638580098,0.035518044803260936
11,89,26,26,0,0.8368227392832139,0.7163815743025945
11,89,14,14,0,0.9508477162390294,0.9118788264809736
12,2,3,3,0,0.9977389989283943,0.996996996996997
12,7,30,30,0,0.7873103637293946,0.6387184860920567
13,83,682,204,239,0.41428171579665574,0.03289715618636074
14,85,41,37,2,0.4191048571949989,0.15234210995651298
14,94,60,56,2,0.9875039125092046,0.2853756687616159
16,10,2,2,0,0.9989964918193617,0.998998998998999
16,32,7,7,0,0.9876535331294505,0.9790842943970669
16,35,7,7,0,0.9876535331294505,0.9790842943970669
16,84,7,7,0,0.9876535331294505,0.9790842943970669
17,41,26,26,0,0.8368227392832139,0.7163815743025945
17,45,103,95,4,0.8192583659140131,0.17366198581311834
17,66,818,158,330,0.39102239005368095,0.050222490762429566
18,10,2,2,0,0.9989964918193617,0.998998998998999
18,19,115,109,3,0.2836845219410488,0.054353602401142564
18,25,115,109,3,0.2836845219410488,0.054353602401142564
18,62,885,109,388,0.2836845219410488,0.054353602401142564
18,90,7,7,0,0.9876535331294505,0.9790842943970669
19,31,2,2,0,0.9989964918193617,0.998998998998999
19,95,23,21,1,0.34255491084564027,0.20428999822394608
20,64,241,165,38,0.09079885375820765,0.008804945180095718
22,46,16,16,0,0.9360389202008819,0.8852419484553506
22,62,629,217,206,0.2927071312391145,0.021610733463840435
22,81,38,36,1,0.9438079858437951,0.3656452714703323
23,3,11,11,0,0.9695466924909625,0.9459319426749386
23,22,11,11,0,0.9695466924909625,0.9459319426749386
23,37,8,8,0,0.9838723606807993,0.9721823910125961
23,81,3,3,0,0.9977389989283943,0.996996996996997
24,6,168,136,16,0.8332280907509676,0.10092897924034885
24,13,32,28,2,0.09950258740989619,0.07330859774622693
24,17,144,138,3,0.028072966625196195,0.002588275081765752
24,27,144,138,3,0.028072966625196195,0.002588275081765752
24,46,12,12,0,0.9637919717306709,0.9354109605016077
24,62,856,138,359,0.02807296662519619,0.002588275081765752
24,91,95,85,5,0.9683596040899841,0.1888546495088151
24,97,2,2,0,0.9989964918193617,0.998998998998999
24,99,95,85,5,0.9683596040899841,0.1888546495088151
25,32,24,24,0,0.8597023617893523,0.7537690248853925
25,48,34,34,0,0.7336657757448424,0.5595843501799564
25,51,3,3,0,0.9977389989283943,0.996996996996997
25,75,9,9,0,0.9795916474111371,0.9643422104399139
25,76,2,2,0,0.9989964918193617,0.998998998998999
26,14,2,2,0,0.9989964918193617,0.998998998998999
26,39,35,35,0,0.7197380957350241,0.5398888347491919
27,10,31,29,1,0.741493555889381,0.30618978972454264
27,15,22,22,0,0.8811697514407855,0.7897060010396019
27,71,969,29,470,0.741493555889381,0.30618978972454264
28,6,78,72,3,0.9996589850079434,0.24275547894256225
28,45,695,227,234,0.2847826433970392,0.025012124538263375
28,52,5,5,0,0.9937069130460606,0.9900050501855918
29,6,2,2,0,0.9989964918193617,0.998998998998999
29,101,2,2,0,0.9989964918193617,0.998998998998999
30,83,34,34,0,0.7336657757448424,0.5595843501799564
31,20,38,38,0,0.6770006605182098,0.4816323205996127
31,27,786,162,312,0.7116967436730588,0.07212224135710911
31,54,16,16,0,0.9360389202008819,0.8852419484553506
31,81,786,162,312,0.7116967436730588,0.07212224135710911
31,89,382,230,76,0.8473813947058226,0.06299865877292922
32,48,11,11,0,0.9695466924909625,0.9459319426749386
33,23,381,233,74,0.9644207679112105,0.0723218082867505
34,44,153,127,13,0.9048946652814084,0.11869076756428928
34,91,6,6,0,0.990932381241065,0.9850301504359155
35,66,265,205,30,0.5020930348233594,0.048080623108348305
36,32,34,32,1,0.8478199600399414,0.33611008613592674
36,34,14,14,0,0.9508477162390294,0.9118788264809736
36,63,8,8,0,0.9838723606807993,0.9721823910125961
37,1,37,37,0,0.6913875070774889,0.5008768085717354
37,6,108,100,4,0.6965346647847264,0.14488549641757154
37,7,2,2,0,0.9989964918193617,0.998998998998999
37,92,3,3,0,0.9977389989283943,0.996996996996997
37,100,14,14,0,0.9508477162390294,0.9118788264809736
38,33,3,3,0,0.9977389989283943,0.996996996996997
39,50,139,115,12,0.6824068982358742,0.09395570515656332
39,67,7,7,0,0.9876535331294505,0.9790842943970669
40,32,21,19,1,0.23750477115217727,0.1765349434082852
40,74,5,5,0,0.9937069130460606,0.9900050501855918
40,75,25,23,1,0.45134229559810113,0.23169129863280508
43,8,11,11,0,0.9695466924909625,0.9459319426749386
43,25,41,39,1,0.9836789522064374,0.37910776080946007
43,81,613,217,198,0.16232433568307245,0.011748143350045964
43,96,3,3,0,0.9977389989283943,0.996996996996997
43,98,27,27,0,0.8248902513748284,0.6972584521959545
44,1,6,6,0,0.990932381241065,0.9850301504359155
44,24,112,104,4,0.5934152917244724,0.12060344085046662
44,32,7,7,0,0.9876535331294505,0.9790842943970669
44,53,2,2,0,0.9989964918193617,0.998998998998999
45,3,409,253,78,0.5801203244047431,0.043930442625922134
45,56,19,17,1,0.14469998026886585,0.1490220301194943
45,90,55,53,1,0.9073476055535936,0.345845193820953
46,10,5,5,0,0.9937069130460606,0.9900050501855918
