chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_p_values,fisher_p_values
5,15,4,4,0,0.9575256423365532,0.9397063417681975
5,26,8,8,0,0.8277567757662238,0.7385807385107265
7,5,53,23,15,0.863310938131694,0.18664739240571598
8,5,9,9,0,0.7830680447914155,0.6743563264663155
9,17,4,4,0,0.9575256423365532,0.9397063417681975
17,25,12,8,2,0.23010079363159797,0.11265639087651869
19,25,5,5,0,0.9330914390145758,0.9005519108611892
21,9,7,7,0,0.86793810793764,0.7986977753662506
22,21,3,3,0,0.9763703822719968,0.9696969696969697
25,7,5,5,0,0.9330914390145758,0.9005519108611892
26,14,4,4,0,0.9575256423365532,0.9397063417681975
26,20,12,8,2,0.23010079363159797,0.11265639087651869
28,18,28,24,2,0.4037217086085978,0.13258258454612779
29,14,18,18,0,0.29979987952005765,0.15433555441709923
48,5,52,26,13,0.9575256423365531,0.21845059105365658
49,13,19,19,0,0.25269993868190727,0.12045701808163842
52,18,3,3,0,0.9763703822719968,0.9696969696969697
63,2,11,11,0,0.682565882651689,0.5401437730914566
65,8,3,3,0,0.9763703822719968,0.9696969696969697
65,24,17,13,2,0.8566594379720276,0.29113297765043716
69,1,8,8,0,0.8277567757662238,0.7385807385107265
70,4,20,14,3,0.676633846161729,0.20469074516187505
70,20,47,27,10,0.8386273433520637,0.19653810892636078
75,20,98,2,48,0.9896416924365574,0.98989898989899
76,7,16,14,1,0.9575256423365532,0.41101126256532305
77,3,3,1,1,2.101812221142674e-05,0.030303030303030304
79,11,6,6,0,0.9031595580373455,0.8531544418684951
84,9,2,2,0,0.9896416924365574,0.98989898989899
85,16,2,2,0,0.9896416924365574,0.98989898989899
86,15,8,8,0,0.8277567757662238,0.7385807385107265
88,14,8,6,1,0.4258724835511314,0.240468147422097
89,5,30,22,4,0.9448875602748896,0.2594852813740236
90,11,5,5,0,0.9330914390145758,0.9005519108611892
93,16,13,9,2,0.35243445634807163,0.14793263448431745
94,2,92,6,43,0.4258724835511314,0.240468147422097
96,25,13,11,1,0.9813934375627887,0.4195907450827913
99,4,3,3,0,0.9763703822719968,0.9696969696969697
103,4,3,3,0,0.9763703822719968,0.9696969696969697
103,12,34,24,5,0.8861923090155508,0.23099313836200464
105,21,3,3,0,0.9763703822719968,0.9696969696969697
106,9,2,2,0,0.9896416924365574,0.98989898989899
106,12,14,12,1,0.9997241029223968,0.427628881961772
106,18,3,3,0,0.9763703822719968,0.9696969696969697
109,17,2,2,0,0.9896416924365574,0.98989898989899
114,9,40,24,8,1.0,0.2317628471213295
115,10,26,14,6,0.15655417641524402,0.04278186580425279
115,19,74,14,30,0.15655417641524402,0.04278186580425279
120,8,2,2,0,0.9896416924365574,0.98989898989899
120,20,28,22,3,0.8120002766361929,0.24395195556487514
121,6,3,3,0,0.9763703822719968,0.9696969696969697
125,11,2,2,0,0.9896416924365574,0.98989898989899
126,14,46,24,11,0.9718160268746815,0.21444594021082264
128,1,33,25,4,0.6523799351683062,0.18207694435593305
130,16,6,4,1,0.12077484254231236,0.1421924069780825
135,9,2,2,0,0.9896416924365574,0.98989898989899
137,21,63,23,20,0.9955881669865067,0.2353343555602416
139,17,39,19,10,0.36294779793670945,0.07843850920226926
139,18,2,2,0,0.9896416924365574,0.98989898989899
143,26,6,6,0,0.9031595580373455,0.8531544418684951
144,23,2,2,0,0.9896416924365574,0.98989898989899
146,16,7,7,0,0.86793810793764,0.7986977753662506
146,23,9,7,1,0.5899036617309961,0.2890098541998495
148,2,33,25,4,0.6523799351683062,0.18207694435593305
149,6,9,9,0,0.7830680447914155,0.6743563264663155
150,20,6,6,0,0.9031595580373455,0.8531544418684951
152,1,3,3,0,0.9763703822719968,0.9696969696969697
155,17,4,4,0,0.9575256423365532,0.9397063417681975
157,13,11,7,2,0.13128212168142353,0.08151559990252165
159,19,34,24,5,0.8861923090155508,0.23099313836200464
160,19,31,25,3,0.4906193780705137,0.1470910852131608
161,16,4,2,1,0.0032147124638421233,0.05998125585754452
162,17,2,2,0,0.9896416924365574,0.98989898989899
162,26,84,14,35,0.9575256423365532,0.41101126256532305
163,26,2,2,0,0.9896416924365574,0.98989898989899
164,7,8,8,0,0.8277567757662238,0.7385807385107265
169,1,8,8,0,0.8277567757662238,0.7385807385107265
170,19,88,12,38,0.6282129780046152,0.47338443034981587
171,1,3,3,0,0.9763703822719968,0.9696969696969697
172,20,77,19,29,0.8757782316364834,0.2981179789074629
173,13,11,11,0,0.682565882651689,0.5401437730914566
175,9,60,22,19,0.8406237433345055,0.18703668364177467
176,6,19,17,1,0.7606370222013641,0.3218460951868776
176,12,3,3,0,0.9763703822719968,0.9696969696969697
177,14,72,22,25,0.8120002766361929,0.24395195556487514
181,20,11,11,0,0.682565882651689,0.5401437730914566
182,13,15,11,2,0.6243946223995411,0.22375929870092723
184,8,9,9,0,0.7830680447914155,0.6743563264663155
187,14,2,2,0,0.9896416924365574,0.98989898989899
188,12,72,22,25,0.8120002766361929,0.24395195556487514
190,12,8,8,0,0.8277567757662238,0.7385807385107265
194,6,13,9,2,0.35243445634807163,0.14793263448431745
194,23,89,9,40,0.8497692758643633,0.3713488440003764
195,4,5,5,0,0.9330914390145758,0.9005519108611892
200,18,94,6,44,0.9031595580373455,0.8531544418684951
201,5,16,10,3,0.19440910864575733,0.07721889523796704
201,25,15,9,3,0.1150222423265272,0.0539770238094342
208,18,2,2,0,0.9896416924365574,0.98989898989899
212,23,9,7,1,0.5899036617309961,0.2890098541998495
217,6,15,15,0,0.45907269121393757,0.29113297765043716
217,10,85,15,35,0.45907269121393757,0.29113297765043716
219,5,15,13,1,0.9904343568186296,0.42456892574022087
219,15,53,23,15,0.863310938131694,0.18664739240571598
221,5,24,16,4,0.6858892626806117,0.18758202698787763
226,18,41,23,9,0.9412928747065762,0.21116170515498908
227,14,54,28,13,0.6672529092653358,0.16129267297908026
228,4,7,7,0,0.86793810793764,0.7986977753662506
232,7,2,2,0,0.9896416924365574,0.98989898989899
232,18,100,0,50,,1.0
234,10,3,3,0,0.9763703822719968,0.9696969696969697
239,17,70,24,23,0.6003730411984045,0.18051150008627728
242,13,5,5,0,0.9330914390145758,0.9005519108611892
243,10,62,20,21,0.5650691382994364,0.12469711719335112
245,10,26,18,4,0.9013676592645408,0.2432694330045747
247,3,12,12,0,0.6282129780046152,0.47338443034981587
247,26,12,12,0,0.6282129780046152,0.47338443034981587
248,2,99,1,49,0.9974524902978222,1.0
248,12,2,2,0,0.9896416924365574,0.98989898989899
249,15,8,8,0,0.8277567757662238,0.7385807385107265
250,13,32,18,7,0.47404872020066036,0.11138419133895147
257,2,31,17,7,0.3488733443897938,0.0831365178142895
259,11,6,6,0,0.9031595580373455,0.8531544418684951
267,17,3,3,0,0.9763703822719968,0.9696969696969697
269,23,2,2,0,0.9896416924365574,0.98989898989899
271,5,8,8,0,0.8277567757662238,0.7385807385107265
283,2,66,20,23,0.7441004356625853,0.17324485377150348
285,1,6,6,0,0.9031595580373455,0.8531544418684951
285,3,6,6,0,0.9031595580373455,0.8531544418684951
285,16,2,2,0,0.9896416924365574,0.98989898989899
286,25,86,12,37,0.9997241029223968,0.427628881961772
286,26,86,12,37,0.9997241029223968,0.427628881961772
287,5,46,16,15,0.04216258963980554,0.008151265455729887
288,3,18,16,1,0.8382444359185068,0.35777787614873
288,19,82,16,33,0.8382444359185068,0.35777787614873
288,20,9,9,0,0.7830680447914155,0.6743563264663155
290,12,2,2,0,0.9896416924365574,0.98989898989899
292,9,18,10,4,0.07427008720200848,0.03134940949097328
292,11,71,15,28,0.15839168710108098,0.03996247590674928
292,13,29,15,7,0.158391687101081,0.03996247590674928
293,10,43,23,10,0.909475587186685,0.20059744918697794
293,24,14,12,1,0.9997241029223968,0.427628881961772
296,14,25,19,3,0.9955654174830928,0.2954689469691191
300,9,25,21,2,0.697676326071031,0.23637515757529526
301,1,56,24,16,0.9832751882749747,0.21936680115768933
301,24,30,20,5,0.9448875602748895,0.2397643999895978
302,8,9,7,1,0.5899036617309961,0.2890098541998495
304,3,2,2,0,0.9896416924365574,0.98989898989899
305,17,12,8,2,0.23010079363159797,0.11265639087651869
308,22,11,11,0,0.682565882651689,0.5401437730914566
311,22,2,2,0,0.9896416924365574,0.98989898989899
314,22,52,30,11,0.36083906446636566,0.09119046749329798
316,7,33,21,6,0.9389342203266475,0.22759618044491634
317,25,4,4,0,0.9575256423365532,0.9397063417681975
319,17,4,4,0,0.9575256423365532,0.9397063417681975
320,12,5,5,0,0.9330914390145758,0.9005519108611892
321,7,25,19,3,0.9955654174830928,0.2954689469691191
321,26,8,8,0,0.8277567757662238,0.7385807385107265
323,14,39,17,11,0.1304807792158036,0.027712779077661245
326,11,18,14,2,0.9358670734543468,0.31568636130770295
327,3,45,25,10,0.9974524902978222,0.22563442404790904
333,7,28,16,6,0.34490030524203563,0.08681503386638635
333,8,21,15,3,0.7948222299642191,0.23641781066196568
335,9,3,3,0,0.9763703822719968,0.9696969696969697
336,15,9,9,0,0.7830680447914155,0.6743563264663155
343,4,71,21,25,0.9901361995798582,0.2702106730041499
343,6,6,6,0,0.9031595580373455,0.8531544418684951
344,8,17,11,3,0.29685073565889836,0.10513135304043564
352,22,18,16,1,0.8382444359185068,0.35777787614873
355,18,64,18,23,0.3023140012570494,0.06713742876343229
361,22,3,3,0,0.9763703822719968,0.9696969696969697
362,26,60,28,16,0.499351788599276,0.1293117834194905
364,12,77,21,28,0.42199184150166213,0.16467469311078903
365,4,99,1,49,0.9974524902978222,1.0
366,2,9,7,1,0.5899036617309961,0.2890098541998495
368,18,85,15,35,0.45907269121393757,0.29113297765043716
368,18,2,2,0,0.9896416924365574,0.98989898989899
371,16,4,4,0,0.9575256423365532,0.9397063417681975
374,12,93,7,43,0.86793810793764,0.7986977753662506
374,17,7,7,0,0.86793810793764,0.7986977753662506
377,14,2,2,0,0.9896416924365574,0.98989898989899
378,11,16,16,0,0.4037217086085978,0.23975656982977178
385,14,3,3,0,0.9763703822719968,0.9696969696969697
392,21,11,11,0,0.682565882651689,0.5401437730914566
393,23,57,17,20,0.09564527265289846,0.019408767619653516
397,18,87,13,37,0.5722393606045739,0.4088320080293864
