chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_p_values,fisher_p_values
5,15,111,101,5,0.5113969722838853,0.10631650648650777
5,26,165,145,10,0.4106037527822003,0.06270538620666857
7,5,1069,493,288,0.9578262584434767,0.04830933527633474
7,24,3,3,0,0.998872253775306,0.9984992496248124
8,5,264,236,14,0.6398448530914869,0.07536643876081314
9,17,87,87,0,0.3555326565343032,0.1414622433297935
10,1,10,10,0,0.9874534290355311,0.9776461646549068
10,5,26,26,0,0.9169149158673642,0.8482302183936231
12,23,16,16,0,0.9680048221116089,0.9413227215492337
16,6,22,22,0,0.9400207889201649,0.8898010266496916
16,10,2,2,0,0.9994991239782939,0.9994997498749375
17,25,214,188,13,0.8765674194853594,0.10915967824580573
19,25,87,87,0,0.3555326565343032,0.1414622433297935
20,9,37,37,0,0.837246486252521,0.7123330331858212
21,9,102,98,2,0.9257986180701406,0.2609259179186863
22,21,31,29,1,0.28955369220557176,0.18928228632986865
24,3,2,2,0,0.9994991239782939,0.9994997498749375
24,7,23,23,0,0.9345664769544622,0.8799043519346799
25,7,28,28,0,0.9041113794769778,0.8256030622441187
26,14,116,112,2,0.7322515221652481,0.19838390181052157
26,20,140,126,7,0.5943473518153634,0.1018894029876498
26,22,21,21,0,0.9452544615603349,0.8993443471602348
28,18,522,402,60,0.4121457055441744,0.02785540938541057
29,14,406,326,40,0.9724662564167595,0.07657436621619843
36,5,2,2,0,0.9994991239782939,0.9994997498749375
45,23,2,2,0,0.9994991239782939,0.9994997498749375
46,7,26,26,0,0.9169149158673642,0.8482302183936231
48,5,1205,495,355,0.571907043573975,0.030695501896434427
49,13,399,327,36,0.7534218473640845,0.06155204103575523
52,18,84,80,2,0.9829456754405312,0.27866874481547343
54,14,17,17,0,0.9639199330844024,0.9337314092786754
56,16,19,19,0,0.9550469769297613,0.9173194471526248
57,9,5,5,0,0.9968642429984811,0.995001256261581
63,2,235,213,11,0.6933645707027021,0.09079427784823392
63,24,8,8,0,0.9919680438685891,0.9860455489387389
65,8,71,69,1,0.971527024620936,0.3684357780814578
65,24,381,307,37,0.9894644003975338,0.08012366195063583
67,3,5,5,0,0.9968642429984811,0.995001256261581
67,20,3,3,0,0.998872253775306,0.9984992496248124
69,1,257,221,18,0.915536770389757,0.0990645602699433
69,17,8,8,0,0.9919680438685891,0.9860455489387389
70,4,222,190,16,0.4990782049935861,0.05929837452077808
70,20,811,471,170,0.7657461602048344,0.039547634234417525
73,17,6,6,0,0.9954831099826345,0.9925075187772161
75,20,1988,12,988,0.9819469841920873,0.9673537484054419
76,7,382,324,29,0.30974856266409995,0.026344503671517066
76,23,101,99,1,0.5929544075005428,0.19627582417412764
77,3,31,31,0,0.8834352484331799,0.7896938397418176
79,11,85,81,2,0.9887296060879517,0.2802201365750585
79,18,2,2,0,0.9994991239782939,0.9994997498749375
80,25,4,4,0,0.9979939906673919,0.9969992507520661
83,12,2,2,0,0.9994991239782939,0.9994997498749375
84,9,43,43,0,0.7855325928010027,0.6304389882944557
84,26,9,9,0,0.9898352698344185,0.9820855266538443
85,16,12,12,0,0.9819469841920873,0.9673537484054419
86,7,4,4,0,0.9979939906673919,0.9969992507520661
86,15,186,164,11,0.6781315895552247,0.0926727581293924
88,14,155,151,2,0.20803744261097573,0.03733153963089099
