chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
14,15,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
57,5,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
76,23,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
95,14,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
155,10,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
160,16,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
176,22,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
242,13,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
259,2,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
287,6,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
331,18,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
346,23,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
368,19,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
