,heterozygotes,homozygotes
2,452,0
3,403,1
4,424,0
5,400,0
6,520,1
7,476,0
8,424,0
9,423,0
10,348,1
11,416,1
12,524,2
13,479,1
14,336,0
15,300,0
16,332,2
17,268,2
18,444,3
19,395,2
20,318,1
21,479,2
22,308,0
23,640,2
24,330,3
25,498,1
26,330,4
27,343,4
28,250,1
29,460,2
30,238,1
31,271,4
32,406,5
33,295,1
34,336,2
35,416,2
36,462,3
37,794,10
38,332,5
39,341,5
40,474,3
41,275,6
42,494,5
43,422,4
44,468,8
45,485,5
46,406,4
47,599,6
48,422,5
49,243,1
50,48,1
51,453,3
52,252,4
53,204,4
54,416,8
55,273,1
56,820,10
57,226,1
59,114,2
60,56,2
61,118,2
62,480,8
63,305,5
64,738,15
65,382,4
66,514,7
67,589,7
68,400,4
69,536,8
70,342,4
71,410,8
72,270,9
73,720,5
74,274,11
75,365,5
76,152,0
77,215,8
78,230,2
79,79,0
80,230,5
81,79,1
82,838,32
83,322,5
84,160,4
85,158,6
86,166,3
87,253,4
88,172,2
89,421,12
90,244,13
91,674,27
92,88,2
93,348,12
95,279,3
96,272,8
97,366,11
98,280,7
99,95,2
100,188,6
101,192,5
102,196,4
104,190,9
105,402,9
106,290,14
107,95,6
108,208,4
110,104,3
111,317,8
112,212,6
113,430,11
114,322,10
115,216,7
116,224,4
117,117,0
118,108,5
119,103,8
120,228,6
121,343,10
122,226,9
124,350,11
125,234,8
126,468,18
127,121,3
128,116,6
129,607,19
130,360,15
131,121,5
134,120,7
137,125,6
141,119,11
142,128,7
143,258,14
144,120,12
146,136,5
148,146,1
152,418,19
153,282,12
154,294,7
155,143,6
158,148,5
159,143,8
162,140,11
165,151,7
170,164,3
171,149,11
173,165,4
175,328,11
176,166,5
177,163,7
178,324,16
182,160,11
184,164,10
186,166,10
188,164,12
189,179,5
191,171,10
193,167,13
196,180,8
198,186,6
200,178,11
201,183,9
202,180,11
203,187,8
205,189,8
206,192,7
207,177,15
216,192,12
224,196,14
227,205,11
232,192,20
233,205,14
236,202,17
237,209,14
241,209,16
247,229,9
326,282,22
