allele_count,chi_pr_values,chrom,fisher_p_n_homo_geq,fisher_p_n_homo_leq,fisher_p_two_sided,fisher_pr_values,num_heterozygotes,num_homozygotes,pos
3,,1,0,0,0,0,3,0,5
2,,1,0,0,0,0,2,0,17
35,0.0,1,0,0,0,0,33,1,25
31,0.0,2,0,0,0,0,27,2,16
3,,3,0,0,0,0,3,0,1
2,,3,0,0,0,0,2,0,2
3,,3,0,0,0,0,3,0,2
35,,3,0,0,0,0,35,0,10
20,,3,0,0,0,0,20,0,13
2,,3,0,0,0,0,2,0,15
16,,4,0,0,0,0,16,0,14
41,0.0,4,0,0,0,0,39,1,15
12,,4,0,0,0,0,12,0,16
19,,5,0,0,0,0,19,0,6
5,,5,0,0,0,0,5,0,12
38,0.0,5,0,0,0,0,36,1,13
15,,5,0,0,0,0,15,0,13
7,,5,0,0,0,0,7,0,19
47,0.0,6,0,0,0,0,43,2,15
15,,6,0,0,0,0,15,0,24
39,,6,0,0,0,0,39,0,26
2,,7,0,0,0,0,2,0,9
11,,8,0,0,0,0,11,0,9
18,,8,0,0,0,0,18,0,9
48,0.0,8,0,0,0,0,42,3,13
2,,8,0,0,0,0,2,0,22
71,0.0,8,0,0,0,0,67,2,24
3,,9,0,0,0,0,3,0,19
2,,9,0,0,0,0,2,0,23
44,0.0,9,0,0,0,0,42,1,25
26,,10,0,0,0,0,26,0,14
2,,10,0,0,0,0,2,0,22
5,,11,0,0,0,0,5,0,13
5,,11,0,0,0,0,5,0,16
12,,11,0,0,0,0,12,0,17
37,0.0,11,0,0,0,0,35,1,18
2,,11,0,0,0,0,2,0,21
2,,11,0,0,0,0,2,0,25
17,,12,0,0,0,0,17,0,9
2,,12,0,0,0,0,2,0,23
5,,12,0,0,0,0,5,0,26
4,,13,0,0,0,0,4,0,14
49,,13,0,0,0,0,49,0,21
11,,13,0,0,0,0,11,0,23
4,,14,0,0,0,0,4,0,15
7,,14,0,0,0,0,7,0,18
4,,14,0,0,0,0,4,0,19
12,,15,0,0,0,0,12,0,1
10,,15,0,0,0,0,10,0,9
7,,15,0,0,0,0,7,0,9
34,,15,0,0,0,0,34,0,10
73,0.0,15,0,0,0,0,67,3,11
26,,15,0,0,0,0,26,0,17
40,,15,0,0,0,0,40,0,17
2,,15,0,0,0,0,2,0,17
3,,16,0,0,0,0,3,0,1
2,,16,0,0,0,0,2,0,1
10,,16,0,0,0,0,10,0,2
12,,16,0,0,0,0,12,0,3
7,,16,0,0,0,0,7,0,20
45,0.0,17,0,0,0,0,43,1,5
2,,17,0,0,0,0,2,0,8
12,,17,0,0,0,0,12,0,12
82,0.0,17,0,0,0,0,74,4,14
35,0.0,17,0,0,0,0,33,1,20
14,,18,0,0,0,0,14,0,19
7,,18,0,0,0,0,7,0,25
11,,19,0,0,0,0,11,0,7
8,,19,0,0,0,0,8,0,9
5,,19,0,0,0,0,5,0,20
8,,19,0,0,0,0,8,0,24
24,,20,0,0,0,0,24,0,3
51,0.0,20,0,0,0,0,49,1,8
26,0.0,20,0,0,0,0,24,1,13
2,,21,0,0,0,0,2,0,20
22,,22,0,0,0,0,22,0,8
8,,22,0,0,0,0,8,0,20
