,heterozygotes,homozygotes
2,432,0
3,411,0
4,392,0
5,428,1
6,450,0
7,432,1
8,334,1
9,315,0
10,460,0
11,216,2
12,334,1
13,375,1
14,344,3
15,343,1
16,272,0
17,544,0
18,180,0
19,302,1
20,300,0
21,351,3
22,198,0
23,230,0
24,336,0
25,492,4
26,382,4
27,426,3
28,196,0
29,288,1
30,268,1
31,308,1
32,252,2
33,161,2
34,238,0
35,278,1
36,280,4
37,218,2
38,112,1
39,232,1
40,156,2
41,201,2
42,246,3
43,213,1
44,128,2
45,135,0
46,86,3
47,227,4
48,92,2
49,147,0
50,48,1
51,198,3
53,53,0
54,154,4
55,108,1
57,57,0
58,116,0
59,112,3
60,58,1
62,180,3
64,124,2
65,130,0
66,66,0
69,134,2
74,144,2
75,73,1
76,76,0
77,73,2
81,81,0
95,93,1
96,96,0
