allele_count,chi_pr_values,chrom,fisher_p_n_homo_geq,fisher_p_n_homo_leq,fisher_p_two_sided,fisher_pr_values,num_heterozygotes,num_homozygotes,pos
14,,1,0,0,0,0,14,0,6
2,,1,0,0,0,0,2,0,6
5,,1,0,0,0,0,5,0,13
12,,1,0,0,0,0,12,0,26
2,,2,0,0,0,0,2,0,24
3,,4,0,0,0,0,3,0,5
6,,4,0,0,0,0,6,0,6
21,,4,0,0,0,0,21,0,14
13,,5,0,0,0,0,13,0,12
5,,5,0,0,0,0,5,0,18
2,,5,0,0,0,0,2,0,25
19,,6,0,0,0,0,19,0,3
3,,7,0,0,0,0,3,0,24
8,,8,0,0,0,0,8,0,3
17,,8,0,0,0,0,17,0,17
2,,8,0,0,0,0,2,0,17
21,0.0,8,0,0,0,0,19,1,22
3,,8,0,0,0,0,3,0,24
29,0.0,8,0,0,0,0,27,1,24
10,,9,0,0,0,0,10,0,6
21,,9,0,0,0,0,21,0,15
7,,9,0,0,0,0,7,0,15
21,,9,0,0,0,0,21,0,21
5,,9,0,0,0,0,5,0,23
41,0.0,10,0,0,0,0,39,1,6
2,,10,0,0,0,0,2,0,13
3,,11,0,0,0,0,3,0,8
2,,11,0,0,0,0,2,0,14
25,,11,0,0,0,0,25,0,18
4,,11,0,0,0,0,4,0,21
2,,12,0,0,0,0,2,0,12
11,,12,0,0,0,0,11,0,26
4,,13,0,0,0,0,4,0,3
39,,13,0,0,0,0,39,0,9
13,,13,0,0,0,0,13,0,11
2,,13,0,0,0,0,2,0,22
40,,13,0,0,0,0,40,0,23
39,,13,0,0,0,0,39,0,24
5,,14,0,0,0,0,5,0,15
24,,14,0,0,0,0,24,0,18
2,,15,0,0,0,0,2,0,7
23,,15,0,0,0,0,23,0,9
13,,15,0,0,0,0,13,0,17
5,,15,0,0,0,0,5,0,25
57,,16,0,0,0,0,57,0,2
15,,16,0,0,0,0,15,0,10
4,,16,0,0,0,0,4,0,10
2,,16,0,0,0,0,2,0,20
4,,16,0,0,0,0,4,0,23
20,,17,0,0,0,0,20,0,8
6,,17,0,0,0,0,6,0,8
31,,17,0,0,0,0,31,0,12
9,,18,0,0,0,0,9,0,2
49,,18,0,0,0,0,49,0,5
17,,18,0,0,0,0,17,0,8
5,,18,0,0,0,0,5,0,8
35,,18,0,0,0,0,35,0,13
5,,18,0,0,0,0,5,0,24
5,,18,0,0,0,0,5,0,25
4,,19,0,0,0,0,4,0,6
2,,19,0,0,0,0,2,0,14
6,,19,0,0,0,0,6,0,17
27,,19,0,0,0,0,27,0,20
7,,19,0,0,0,0,7,0,24
42,0.0,20,0,0,0,0,40,1,15
53,,21,0,0,0,0,53,0,1
8,,22,0,0,0,0,8,0,5
4,,22,0,0,0,0,4,0,14
5,,22,0,0,0,0,5,0,22
8,,23,0,0,0,0,8,0,11
13,,23,0,0,0,0,13,0,14
10,,23,0,0,0,0,10,0,17
16,,23,0,0,0,0,16,0,19
21,,24,0,0,0,0,21,0,3
14,,24,0,0,0,0,14,0,10
4,,25,0,0,0,0,4,0,7
40,,25,0,0,0,0,40,0,14
32,0.0,25,0,0,0,0,30,1,17
3,,25,0,0,0,0,3,0,18
2,,25,0,0,0,0,2,0,22
2,,25,0,0,0,0,2,0,25
