,heterozygotes,homozygotes
2,40,0
30,60,0
184,278,45
3,36,0
53,49,2
7,63,0
4,60,0
6,48,0
11,42,1
145,119,13
45,168,6
13,89,1
14,14,0
61,57,2
225,177,24
345,486,102
311,201,55
10,50,0
208,176,16
123,105,9
239,179,30
36,72,0
431,239,96
299,211,44
64,56,4
491,241,125
77,67,5
41,117,3
5,50,0
160,272,24
192,156,18
206,166,20
318,220,49
20,40,0
80,142,9
50,186,7
74,68,3
331,243,44
90,82,4
32,64,0
25,44,3
329,225,52
425,229,98
31,118,3
375,245,65
105,184,13
26,76,1
421,259,81
24,46,1
297,225,36
155,274,18
201,167,17
132,116,8
289,199,45
69,128,5
153,135,9
260,198,31
17,51,0
182,152,15
8,24,0
106,94,6
59,57,1
202,156,23
214,172,21
18,36,0
296,210,43
12,48,0
96,82,7
261,175,43
92,90,1
141,224,29
9,36,0
15,30,0
367,249,59
167,133,17
170,138,16
67,193,4
128,112,8
43,43,0
199,153,23
21,63,0
46,90,1
302,234,34
438,258,90
119,109,5
149,268,15
38,74,1
29,58,0
19,55,1
186,154,16
28,54,1
117,99,9
86,72,7
71,67,2
116,106,5
159,147,6
23,42,2
103,91,6
294,456,66
48,48,0
134,130,2
27,25,1
322,444,100
65,61,2
284,206,39
109,93,8
408,250,79
172,156,8
120,106,7
250,380,60
88,74,7
161,135,13
341,207,67
359,235,62
125,123,1
189,161,14
58,54,2
84,80,2
22,44,0
87,77,5
313,215,49
16,16,0
