,heterozygotes,homozygotes
2,434,0
3,378,0
4,400,0
5,418,1
6,466,1
7,420,0
8,406,1
9,504,0
10,440,0
11,381,2
12,444,0
13,492,1
14,316,3
15,363,6
16,512,0
17,323,0
18,358,1
19,551,0
20,454,3
21,271,1
22,502,2
23,343,1
24,570,3
25,496,2
26,640,5
27,472,7
28,466,5
29,456,4
30,384,3
31,333,4
32,498,7
33,489,3
34,364,5
35,420,0
36,324,0
37,551,2
38,490,2
39,491,8
40,670,5
41,560,7
42,252,0
43,416,7
44,688,8
45,438,6
46,362,3
47,321,4
48,472,4
49,531,4
50,200,0
51,288,9
52,614,5
53,514,8
54,422,5
55,434,3
56,378,7
57,167,2
58,342,3
59,391,11
60,932,14
61,834,10
62,480,8
63,240,6
64,630,5
65,427,14
66,390,3
67,396,3
68,442,17
69,741,9
70,608,11
71,408,9
72,270,9
73,416,11
74,218,2
75,574,13
76,440,8
77,365,10
78,146,5
79,519,17
80,446,17
81,77,2
82,314,7
83,233,8
84,568,10
85,241,7
86,484,16
87,251,5
88,570,23
89,437,4
90,90,0
91,435,10
92,348,10
93,627,12
94,642,8
95,534,18
96,282,3
97,279,6
98,284,5
99,479,8
100,368,16
101,188,7
102,678,18
103,291,9
104,192,8
105,600,15
106,492,19
107,299,11
108,404,14
109,519,13
110,312,9
111,208,7
112,424,12
113,319,10
114,526,22
115,642,24
116,218,7
117,222,6
118,658,25
119,541,27
120,342,9
121,686,20
122,334,16
123,464,14
124,580,20
125,339,18
127,244,5
128,472,20
129,111,9
130,856,27
131,492,16
132,498,15
133,248,9
134,1140,33
135,379,13
136,126,5
137,250,12
138,132,3
139,649,23
140,658,21
142,912,41
143,129,7
144,678,21
145,673,26
146,276,8
147,276,9
148,284,6
149,429,9
150,272,14
151,546,29
152,820,46
153,147,3
154,1406,67
155,574,23
156,434,17
158,590,21
159,306,6
160,578,31
161,302,10
162,918,27
163,151,6
164,142,11
165,310,10
166,770,30
167,777,29
168,152,8
169,155,7
170,458,26
171,308,17
172,628,30
174,166,4
175,614,43
176,646,29
177,481,25
178,336,10
179,495,21
180,318,21
181,497,23
182,338,13
183,495,27
184,340,14
185,342,14
186,168,9
187,165,11
188,342,17
189,1016,59
191,165,13
192,336,24
193,515,32
194,182,6
195,173,11
197,185,6
198,346,25
199,531,33
200,182,9
201,374,14
202,366,19
203,185,9
204,180,12
205,364,23
206,364,24
207,555,33
208,366,25
209,557,35
210,186,12
212,372,26
213,1536,84
215,390,20
216,582,33
217,193,12
218,184,17
219,603,27
220,398,21
221,575,44
222,190,16
223,400,23
224,590,41
227,599,41
228,212,8
229,195,17
230,834,43
231,199,16
232,594,51
233,215,9
234,218,8
235,416,27
237,1007,89
238,424,26
239,621,48
240,432,24
242,630,48
244,204,20
245,211,17
247,219,14
249,428,35
250,214,18
251,213,19
252,220,16
256,432,40
258,450,33
259,229,15
260,442,39
261,233,14
262,224,19
263,474,26
265,685,55
266,244,11
269,446,46
271,237,17
274,734,44
275,472,39
276,484,34
277,233,22
279,723,57
280,716,62
281,231,25
284,236,24
285,751,52
286,734,62
289,231,29
291,506,38
292,750,63
293,241,26
294,1008,84
295,502,44
297,530,32
299,261,19
300,512,44
301,1042,81
302,244,29
303,259,22
304,782,65
307,279,14
309,269,20
311,538,42
312,252,30
313,269,22
314,266,24
315,265,25
318,818,68
319,1084,96
320,264,28
321,1614,156
322,254,34
324,540,54
325,273,26
326,268,29
330,546,57
331,263,34
332,262,35
336,588,42
338,276,31
339,295,22
342,274,34
346,268,39
349,542,78
352,296,28
353,273,40
357,303,27
362,298,32
363,297,33
365,307,29
368,294,37
370,604,68
372,606,69
374,918,102
375,297,39
377,285,46
378,618,69
379,305,37
380,614,73
381,584,89
385,305,40
387,321,33
388,310,39
390,294,48
392,326,33
393,624,81
395,317,39
397,626,84
400,316,42
401,321,40
404,326,39
405,329,38
407,325,41
409,325,42
412,314,49
414,338,38
415,311,52
416,1004,122
419,327,46
425,323,51
430,346,42
433,335,49
434,330,52
435,349,43
438,684,96
441,331,55
443,359,42
445,353,46
446,342,52
447,339,54
448,360,44
450,688,106
451,363,44
452,360,46
453,351,51
454,348,53
456,716,98
458,368,45
459,349,55
461,365,48
465,361,52
467,363,52
469,1047,180
474,720,114
477,373,52
482,356,63
485,379,53
488,750,113
491,355,68
493,750,118
496,738,127
501,377,62
502,404,49
504,358,73
506,374,66
507,768,123
513,385,64
515,383,66
517,383,67
518,758,139
520,396,62
522,390,66
527,387,70
530,824,118
533,371,81
540,384,78
541,383,79
543,391,76
546,392,77
551,399,76
554,384,85
558,422,68
566,396,85
567,397,85
575,407,84
576,428,74
581,401,90
582,398,92
584,420,82
595,459,68
601,818,192
604,436,84
621,405,108
624,420,102
630,432,99
638,416,111
662,424,119
665,457,104
686,448,119
705,457,124
723,461,131
724,930,259
728,480,124
730,478,126
738,496,121
774,474,150
788,964,306
791,449,171
832,486,173
874,510,182
887,475,206
904,510,197
933,487,223
941,465,238
953,507,223
962,494,234
1068,506,281
1096,1020,586
1209,449,380
1212,482,365
1416,420,498
