,avg_homo_b,exp_homo_b,n_ton
0,0,0,2
1,0,0,3
2,0,0,4
3,0,0,5
4,0,0,6
5,0,0,7
6,0,0,8
7,0,0,9
8,0,0,10
9,0,0,11
10,0,0,12
11,0,0,13
12,0,0,14
13,0,0,15
14,0,0,16
15,0,0,17
16,0,0,18
17,0,0,19
18,0,0,20
19,0,0,21
20,0,0,22
21,0,0,23
22,0,0,24
23,0,0,25
24,0,0,26
25,0,0,27
26,0,0,28
27,0,0,29
28,0,0,30
29,0,0,31
30,0,0,32
31,0,0,33
32,0,0,34
33,0,0,35
34,0,0,36
35,0,0,37
36,0,0,38
37,0,0,39
38,0,0,40
39,0,0,41
40,0,0,42
41,0,0,43
42,0,0,44
43,0,0,45
44,0,0,46
45,0,0,47
46,0,0,48
47,0,0,49
48,0,0,50
49,0,0,51
50,0,0,52
51,0,0,53
52,0,0,54
53,0,0,55
54,0,0,56
55,1,0,57
56,0,0,58
57,0,0,59
58,1,0,60
59,2,0,61
60,0,0,62
61,0,0,63
62,1,0,64
63,1,0,65
64,1,0,66
65,1,0,67
66,0,0,68
67,0,0,69
68,1,0,70
69,1,0,71
70,0,0,72
71,0,0,73
72,0,0,74
73,2,0,75
74,1,0,76
75,1,0,77
76,1,0,78
77,2,0,79
78,2,0,80
79,1,0,81
80,1,0,82
81,2,0,83
82,1,0,84
83,2,0,85
84,1,0,86
85,1,0,87
86,1,0,88
87,2,0,89
88,5,0,90
89,2,0,91
90,2,0,92
91,2,0,93
92,1,0,94
93,2,0,95
94,2,0,96
95,2,0,97
96,2,0,98
97,3,0,99
98,2,0,100
99,1,0,101
100,4,0,102
101,2,0,103
102,1,0,104
103,2,0,105
104,3,0,106
105,2,0,107
106,3,0,108
107,2,0,109
108,3,0,110
109,2,0,111
110,2,0,112
111,1,0,113
112,2,0,114
113,4,0,117
114,2,0,118
115,2,0,119
116,2,0,120
117,3,0,121
118,4,0,122
119,3,0,123
120,3,0,124
121,3,0,125
122,4,0,126
123,4,0,127
124,3,0,128
125,4,0,129
126,3,0,130
127,6,0,131
128,5,0,132
129,2,0,133
130,4,0,134
131,3,0,135
132,5,0,136
133,7,0,138
134,5,0,139
135,4,0,140
136,2,0,141
137,8,0,142
138,1,0,143
139,5,0,145
140,4,0,146
141,5,0,147
142,4,0,148
143,5,0,149
144,4,0,150
145,4,0,151
146,5,0,152
147,6,0,153
148,5,0,154
149,5,0,155
150,6,0,156
151,3,0,157
152,8,0,159
153,7,0,160
154,8,0,161
155,6,0,162
156,6,0,163
157,3,0,164
158,11,0,166
159,7,0,167
160,6,0,168
161,2,0,169
162,6,0,170
163,9,0,172
164,6,0,173
165,7,0,174
166,6,0,176
167,11,0,177
168,9,0,178
169,4,0,181
170,8,0,182
171,6,0,183
172,8,0,184
173,8,0,185
174,9,0,186
175,7,0,188
176,6,0,189
177,9,0,190
178,10,0,191
179,7,0,192
180,7,0,194
181,6,0,195
182,8,0,197
183,9,0,198
184,10,0,199
185,9,0,201
186,9,0,202
187,9,0,203
188,8,0,204
189,13,0,205
190,7,0,206
191,8,0,207
192,8,0,208
193,12,0,210
194,10,0,211
195,12,0,212
196,13,0,213
197,10,0,214
198,14,0,215
199,20,0,217
200,11,0,218
201,11,0,219
202,12,0,220
203,11,0,221
204,21,0,223
205,11,0,224
206,15,0,225
207,13,0,226
208,12,0,227
209,14,0,228
210,13,0,229
211,14,0,230
212,18,0,231
213,13,0,233
214,8,0,235
215,10,0,236
216,18,0,237
217,16,0,238
218,12,0,239
219,14,0,240
220,10,0,241
221,15,0,243
222,13,0,244
223,17,0,245
224,16,0,246
225,15,0,247
226,8,0,249
227,16,0,250
228,17,0,251
229,12,0,252
230,17,0,253
231,19,0,254
232,15,0,255
233,18,0,256
234,17,0,257
235,16,0,258
236,12,0,260
237,21,0,263
238,20,0,264
239,16,0,265
240,19,0,266
241,19,0,267
242,19,0,268
243,18,0,269
244,17,0,270
245,13,0,272
246,19,0,273
247,15,0,276
248,20,0,277
249,15,0,278
250,19,0,279
251,21,0,280
252,15,0,282
253,17,0,283
254,27,0,284
255,22,0,286
256,17,0,288
257,18,0,289
258,19,0,290
259,22,0,291
260,26,0,292
261,20,0,293
262,23,0,294
263,28,0,295
264,17,0,296
265,11,0,297
266,21,0,298
267,23,0,299
268,19,0,301
269,23,0,302
270,23,0,304
271,30,0,305
272,23,0,306
273,25,0,307
274,25,0,308
275,22,0,309
276,27,0,311
277,29,0,313
278,24,0,315
279,27,0,316
280,23,0,319
281,21,0,321
282,29,0,322
283,24,0,323
284,29,0,324
285,27,0,325
286,35,0,326
287,18,0,328
288,24,0,329
289,20,0,334
290,35,0,335
291,34,0,336
292,25,0,337
293,26,0,338
294,28,0,339
295,37,0,340
296,24,0,341
297,26,0,342
298,31,0,344
299,28,0,347
300,29,0,348
301,26,0,349
302,36,0,353
303,37,0,354
304,31,0,355
305,36,0,357
306,32,0,358
307,29,0,361
308,27,0,362
309,30,0,363
310,24,0,366
311,38,0,368
312,36,0,371
313,35,0,372
314,32,0,374
315,37,0,377
316,36,0,378
317,36,0,380
318,34,0,381
319,37,0,382
320,36,0,386
321,31,0,387
322,38,0,389
323,34,0,390
324,33,0,393
325,43,0,394
326,45,0,395
327,37,0,396
328,39,0,399
329,49,0,402
330,40,0,404
331,44,0,406
332,45,0,407
333,26,0,408
334,43,0,409
335,38,0,411
336,45,0,412
337,44,0,414
338,52,0,418
339,38,0,419
340,36,0,420
341,48,0,423
342,47,0,424
343,46,0,425
344,43,0,426
345,47,0,427
346,40,0,428
347,52,0,429
348,40,0,430
349,43,0,431
350,43,0,433
351,53,0,434
352,51,0,436
353,46,0,440
354,57,0,443
355,60,0,444
356,59,0,451
357,51,0,453
358,65,0,456
359,55,0,458
360,52,0,459
361,48,0,460
362,49,0,462
363,52,0,465
364,47,0,467
365,51,0,469
366,49,0,470
367,53,0,471
368,57,0,476
369,55,0,478
370,54,0,479
371,55,0,481
372,68,0,482
373,60,0,485
374,70,0,486
375,59,0,489
376,53,0,491
377,61,0,493
378,56,0,494
379,67,0,495
380,57,0,499
381,63,0,501
382,69,0,502
383,60,0,503
384,61,0,506
385,58,0,507
386,59,0,509
387,71,0,512
388,62,0,513
389,67,0,514
390,70,0,515
391,67,0,516
392,67,0,517
393,65,0,519
394,60,0,520
395,66,0,522
396,76,0,523
397,63,0,524
398,69,0,525
399,63,0,526
400,64,0,528
401,71,0,531
402,81,0,534
403,68,0,535
404,66,0,539
405,71,0,540
406,77,0,541
407,78,0,544
408,69,0,546
409,59,0,547
410,81,0,548
411,78,0,552
412,66,0,554
413,71,0,555
414,88,0,556
415,73,0,559
416,69,0,560
417,79,0,561
418,84,0,562
419,75,0,567
420,74,0,568
421,87,0,569
422,80,0,572
423,87,0,574
424,81,0,576
425,79,0,577
426,75,0,579
427,88,0,582
428,83,0,590
429,89,0,594
430,93,0,596
431,93,0,599
432,92,0,607
433,98,0,608
434,94,0,610
435,84,0,612
436,86,0,613
437,101,0,616
438,104,0,618
439,92,0,622
440,97,0,624
441,110,0,631
442,107,0,633
443,94,0,634
444,88,0,635
445,93,0,638
446,105,0,649
447,107,0,650
448,112,0,656
449,106,0,657
450,118,0,661
451,105,0,667
452,108,0,668
453,120,0,675
454,123,0,676
455,117,0,679
456,112,0,680
457,115,0,687
458,120,0,689
459,124,0,694
460,114,0,695
461,112,0,698
462,119,0,699
463,114,0,700
464,126,0,702
465,123,0,703
466,126,0,709
467,133,0,713
468,123,0,721
469,125,0,725
470,125,0,726
471,107,0,727
472,139,0,729
473,127,0,730
474,127,0,731
475,134,0,735
476,139,0,740
477,136,0,744
478,135,0,753
479,135,0,754
480,138,0,757
481,144,0,758
482,156,0,769
483,152,0,771
484,148,0,772
485,123,0,775
486,148,0,780
487,153,0,784
488,153,0,789
489,150,0,793
490,151,0,799
491,155,0,804
492,150,0,810
493,174,0,819
494,169,0,822
495,160,0,823
496,169,0,824
497,172,0,826
498,156,0,829
499,180,0,835
500,173,0,840
501,185,0,850
502,179,0,855
503,170,0,858
504,181,0,865
505,191,0,866
506,187,0,868
507,205,0,870
508,189,0,873
509,196,0,875
510,193,0,877
511,200,0,883
512,191,0,885
513,192,0,887
514,182,0,889
515,211,0,893
516,200,0,897
517,205,0,899
518,201,0,900
519,207,0,901
520,196,0,902
521,205,0,904
522,199,0,912
523,220,0,913
524,205,0,916
525,194,0,918
526,200,0,924
527,217,0,934
528,222,0,935
529,224,0,936
530,220,0,937
531,221,0,940
532,212,0,943
533,213,0,947
534,230,0,953
535,221,0,954
536,235,0,956
537,240,0,959
538,236,0,960
539,235,0,968
540,226,0,971
541,234,0,972
542,246,0,1001
543,251,0,1013
544,256,0,1021
545,277,0,1026
546,277,0,1031
547,268,0,1032
548,270,0,1036
549,275,0,1040
550,259,0,1043
551,279,0,1044
552,267,0,1046
553,274,0,1049
554,286,0,1052
555,269,0,1053
556,268,0,1057
557,284,0,1059
558,270,0,1060
559,270,0,1062
560,277,0,1063
561,293,0,1064
562,273,0,1065
563,283,0,1066
564,293,0,1067
565,275,0,1076
566,291,0,1077
567,294,0,1085
568,297,0,1087
569,301,0,1092
570,288,0,1098
571,301,0,1100
572,300,0,1101
573,318,0,1107
574,289,0,1108
575,293,0,1111
576,301,0,1112
577,305,0,1113
578,311,0,1121
579,322,0,1127
580,330,0,1144
581,332,0,1150
582,336,0,1168
583,348,0,1175
584,340,0,1190
585,351,0,1196
586,357,0,1207
587,361,0,1214
588,362,0,1216
589,374,0,1221
590,372,0,1225
591,372,0,1241
592,407,0,1242
593,368,0,1243
594,381,0,1246
595,407,0,1268
596,404,0,1271
597,404,0,1281
598,419,0,1282
599,420,0,1287
600,417,0,1291
601,415,0,1294
602,409,0,1296
603,432,0,1297
604,423,0,1298
605,416,0,1299
606,414,0,1302
607,415,0,1309
608,439,0,1313
609,436,0,1316
610,422,0,1317
611,434,0,1320
612,428,0,1326
613,438,0,1333
614,457,0,1339
615,449,0,1343
616,452,0,1347
617,455,0,1350
618,459,0,1353
619,471,0,1357
620,469,0,1366
621,472,0,1367
622,470,0,1378
623,476,0,1379
624,478,0,1383
625,478,0,1387
626,490,0,1390
627,495,0,1406
628,494,0,1407
629,503,0,1414
630,506,0,1418
631,509,0,1430
632,506,0,1432
633,522,0,1438
634,527,0,1447
635,512,0,1453
636,524,0,1454
637,534,0,1456
638,531,0,1459
639,531,0,1460
640,536,0,1465
641,540,0,1469
642,541,0,1472
643,537,0,1475
644,558,0,1478
645,541,0,1481
646,542,0,1482
647,567,0,1498
648,561,0,1501
649,568,0,1507
650,596,0,1522
651,576,0,1526
652,590,0,1535
653,588,0,1546
654,608,0,1558
655,609,0,1577
656,631,0,1583
657,630,0,1589
658,634,0,1591
659,635,0,1602
660,649,0,1606
661,649,0,1610
662,655,0,1614
663,658,0,1623
664,652,0,1625
665,663,0,1629
666,664,0,1637
667,671,0,1641
668,680,0,1643
669,682,0,1652
670,684,0,1659
671,688,0,1662
672,687,0,1663
673,709,0,1685
674,708,0,1687
675,713,0,1691
676,714,0,1692
677,720,0,1696
678,725,0,1701
679,731,0,1708
680,732,0,1709
681,750,0,1727
682,758,0,1742
683,759,0,1744
684,768,0,1746
685,771,0,1756
686,776,0,1762
687,788,0,1775
688,788,0,1777
689,790,0,1780
690,803,0,1794
691,803,0,1797
692,808,0,1799
693,816,0,1804
694,825,0,1819
695,828,0,1820
696,845,0,1837
697,850,0,1847
698,852,0,1849
699,869,0,1862
700,867,0,1863
701,876,0,1871
702,881,0,1877
703,891,0,1886
704,897,0,1896
705,901,0,1897
706,905,0,1901
707,907,0,1904
708,910,0,1905
709,910,0,1908
710,913,0,1909
711,915,0,1911
712,915,0,1913
713,920,0,1919
714,925,0,1924
715,929,0,1929
716,940,0,1940
717,945,0,1945
718,957,0,1957
719,968,0,1968
720,977,0,1977
721,979,0,1979
722,980,0,1980
723,984,0,1984
724,993,0,1993
725,994,0,1994
726,995,0,1995
