,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.09865470852017937,0.05263157894736842,-0.04602312957281095
1,3,0.11904761904761904,0.15789473684210525,0.03884711779448621
2,4,0.2830188679245283,0.3157894736842105,0.032770605759682214
3,5,0.39285714285714285,0.5263157894736842,0.13345864661654133
4,6,0.9636363636363636,0.7894736842105263,-0.1741626794258373
5,7,1.125,1.105263157894737,-0.019736842105263053
6,8,1.411764705882353,1.4736842105263157,0.061919504643962675
7,9,2.2037037037037037,1.8947368421052633,-0.30896686159844045
8,10,2.3863636363636362,2.368421052631579,-0.017942583732057038
9,11,2.9655172413793105,2.894736842105263,-0.07078039927404767
10,12,3.2941176470588234,3.473684210526316,0.17956656346749256
11,13,4.0606060606060606,4.105263157894736,0.04465709728867573
12,14,5.0,4.7894736842105265,-0.21052631578947345
13,15,5.363636363636363,5.526315789473684,0.16267942583732076
14,16,6.3,6.315789473684211,0.015789473684210797
15,17,7.055555555555555,7.157894736842104,0.10233918128654906
16,18,8.037037037037036,8.052631578947368,0.015594541910331827
17,19,9.0,9.0,0.0
18,20,10.0,10.0,0.0
