,heterozygotes,homozygotes
2,428,4
3,422,2
4,400,4
5,325,10
6,360,15
7,349,18
8,392,24
9,389,17
10,442,24
11,349,18
12,274,19
13,462,16
14,470,31
15,472,34
16,430,41
17,405,27
18,218,26
19,326,46
20,278,31
21,286,25
22,282,46
23,373,55
24,416,80
25,199,38
26,272,46
27,547,91
28,252,56
29,300,53
30,290,50
31,105,25
32,294,61
33,468,96
34,388,78
35,276,72
36,262,67
37,102,23
38,218,62
39,240,75
40,486,137
41,182,73
42,110,29
43,140,59
44,162,51
45,133,46
46,302,125
47,300,132
48,156,90
49,100,48
51,250,130
52,118,71
53,248,141
54,226,103
55,225,135
56,222,113
57,267,180
58,136,106
59,69,54
60,300,210
61,160,103
62,210,143
63,50,38
64,100,78
65,19,23
66,286,253
67,259,239
68,108,82
69,69,69
70,106,122
71,71,71
72,108,126
73,192,269
74,42,53
75,70,115
76,108,174
77,91,147
78,116,176
79,78,119
80,84,158
81,49,97
82,44,101
83,32,67
84,100,244
85,45,105
86,64,183
87,59,188
88,90,307
89,20,79
90,90,450
91,55,291
92,50,297
93,19,130
94,28,221
95,30,270
96,16,184
97,12,188
98,14,336
99,7,343
100,0,200
