,heterozygotes,homozygotes
2,414,0
3,396,0
4,420,0
5,390,5
6,418,7
7,398,11
8,460,6
9,383,11
10,434,8
11,367,9
12,450,9
13,498,11
14,428,17
15,393,6
16,324,14
17,290,8
18,290,17
19,276,14
20,346,17
21,376,22
22,320,27
23,347,22
24,394,31
25,386,32
26,406,31
27,338,20
28,402,37
29,383,26
30,462,39
31,395,35
32,206,25
33,500,47
34,222,25
35,342,39
36,412,46
37,657,60
38,278,32
39,547,58
40,314,23
41,489,63
42,390,57
43,163,26
44,412,58
45,241,37
46,142,21
47,177,29
48,390,69
49,226,34
50,198,26
51,296,56
52,162,23
53,595,100
54,162,27
55,394,78
56,396,54
57,242,50
58,250,49
59,205,45
60,436,82
61,176,34
62,176,36
63,404,113
64,590,185
65,362,79
66,316,73
67,297,86
68,302,53
69,274,70
70,234,93
71,149,32
72,292,70
73,479,162
74,296,74
75,231,72
76,236,72
77,41,18
78,42,18
79,327,113
80,94,33
81,49,16
82,296,98
84,150,51
85,149,53
86,248,91
87,174,87
88,338,139
89,216,70
90,104,38
91,188,88
92,104,40
93,312,123
94,196,90
95,375,145
96,146,71
97,196,96
98,226,132
99,149,74
100,302,149
101,300,153
102,186,111
103,135,87
104,136,88
105,620,320
106,46,30
107,237,149
108,88,64
109,151,88
110,38,36
111,43,34
112,196,126
114,160,91
115,45,35
116,188,138
118,338,244
119,145,106
121,45,38
122,144,111
123,100,73
126,312,222
127,375,384
128,142,121
129,243,201
130,82,89
131,174,175
132,318,303
133,182,175
134,218,226
135,174,183
136,116,146
137,178,185
138,412,415
139,131,143
140,304,338
141,43,49
142,36,53
143,164,204
144,46,49
145,39,53
146,38,54
147,82,106
148,38,55
149,39,55
150,42,54
151,144,230
152,40,56
153,66,120
155,111,177
156,258,495
158,70,123
160,34,63
161,136,254
162,60,132
163,182,398
164,56,136
166,60,136
167,114,277
168,84,210
170,74,218
171,27,72
172,26,73
173,75,222
174,96,300
175,134,458
176,114,383
178,40,158
179,114,480
180,18,81
184,16,84
185,35,260
186,14,86
188,34,265
189,11,89
190,50,450
191,18,182
192,8,92
193,47,652
194,36,564
196,20,480
197,9,291
198,8,392
199,8,792
