avg_homo_b,exp_homo_b,n_ton
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
1,0,16
1,0,17
1,0,18
2,0,19
1,0,20
1,0,21
2,0,22
2,0,23
3,0,24
3,0,25
3,0,26
3,0,27
4,0,28
3,0,29
3,0,30
5,0,31
4,0,32
4,0,33
4,0,34
6,0,35
6,0,36
5,0,37
6,0,38
7,0,39
7,0,40
9,0,41
7,0,42
9,0,43
8,0,44
9,0,45
10,0,46
11,0,47
12,0,48
12,0,49
13,0,51
14,0,52
14,0,53
12,0,54
15,0,55
14,0,56
16,0,57
17,0,58
18,0,59
17,0,60
17,0,61
17,0,62
19,0,63
19,0,64
23,0,65
21,0,66
21,0,67
20,0,68
23,0,69
24,0,70
23,0,71
25,0,72
26,0,73
26,0,74
28,0,75
29,0,76
29,0,77
29,0,78
29,0,79
31,0,80
32,0,81
33,0,82
33,0,83
34,0,84
35,0,85
36,0,86
37,0,87
38,0,88
39,0,89
40,0,90
41,0,91
42,0,92
43,0,93
44,0,94
45,0,95
46,0,96
47,0,97
48,0,98
49,49,99
50,50,100
