chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
20,7,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
69,4,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
76,21,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
103,12,3,1,1,0.15765181226837047,0.15789473684210525,1.0,0.15789473684210525,0.15789473684210525
107,22,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
125,17,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
136,7,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
167,4,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
168,17,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
199,26,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
215,14,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
216,16,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
254,6,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
258,19,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
259,2,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
