chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
6,12,9,9,0,0.7830680447914155,0.6743563264663155,0.6743563264663155,1.0,1.0
10,8,5,5,0,0.9330914390145758,0.9005519108611892,0.9005519108611892,1.0,1.0
20,7,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
22,21,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
43,8,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
69,4,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
79,23,6,6,0,0.9031595580373455,0.8531544418684951,0.8531544418684951,1.0,1.0
91,4,6,6,0,0.9031595580373455,0.8531544418684951,0.8531544418684951,1.0,1.0
103,12,4,2,1,0.0032147124638421233,0.05998125585754452,0.999687597625742,0.06029365823180256,0.06029365823180256
107,21,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
107,22,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
114,9,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
125,17,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
127,22,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
135,9,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
136,7,13,13,0,0.5722393606045739,0.4088320080293864,0.4088320080293864,0.9999999999999999,0.5804092549172085
149,6,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
150,20,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
152,20,5,3,1,0.0335958812774804,0.09788607726752056,0.9984379881287098,0.09944808913881079,0.09944808913881079
157,2,12,10,1,0.9321091792987768,0.4005560564498442,0.8739404867996601,0.5266155696501841,0.5266155696501841
160,16,6,4,1,0.12077484254231236,0.1421924069780825,0.9953468488465775,0.14684555813150493,0.14684555813150493
162,17,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
167,4,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
168,17,16,14,1,0.9575256423365532,0.41101126256532305,0.6507678323950948,0.7602434301702283,1.0
171,25,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
180,7,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
194,6,5,5,0,0.9330914390145758,0.9005519108611892,0.9005519108611892,1.0,1.0
201,26,5,5,0,0.9330914390145758,0.9005519108611892,0.9005519108611892,1.0,1.0
202,26,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
212,23,8,6,1,0.4258724835511314,0.240468147422097,0.9790488859328235,0.2614192614892736,0.2614192614892736
213,25,6,4,1,0.12077484254231236,0.1421924069780825,0.9953468488465775,0.14684555813150493,0.14684555813150493
215,14,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
219,5,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
231,10,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
242,13,5,5,0,0.9330914390145758,0.9005519108611892,0.9005519108611892,1.0,1.0
248,10,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
254,22,8,8,0,0.8277567757662238,0.7385807385107265,0.7385807385107265,1.0,1.0
258,19,5,3,1,0.0335958812774804,0.09788607726752056,0.9984379881287098,0.09944808913881079,0.09944808913881079
259,2,5,3,1,0.0335958812774804,0.09788607726752056,0.9984379881287098,0.09944808913881079,0.09944808913881079
271,25,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
273,19,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
280,2,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
288,20,6,6,0,0.9031595580373455,0.8531544418684951,0.8531544418684951,1.0,1.0
293,15,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
312,7,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
324,10,8,4,2,0.005460022013445271,0.020494444382565084,0.9995433303153886,0.020951114067176587,0.020951114067176587
335,8,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
339,2,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
377,23,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
379,19,4,4,0,0.9575256423365532,0.9397063417681975,0.9397063417681975,1.0,1.0
383,12,2,2,0,0.9896416924365574,0.98989898989899,0.98989898989899,1.0,1.0
389,11,5,5,0,0.9330914390145758,0.9005519108611892,0.9005519108611892,1.0,1.0
389,15,3,3,0,0.9763703822719968,0.9696969696969697,0.9696969696969697,1.0,1.0
